mode_index,kx,ky,k_abs,tau_min,tau_max,S_last,S_tail_mean,S_tail_sem,S_tail_std,tail_points,sample_count_min
0,2.4543692606170259e-02,2.4543692606170259e-02,3.4710022954362235e-02,1.0000000000000000e+02,5.0000000000000000e+03,4.7920314175546763e-01,4.7736266247576414e-01,1.9996369258096325e-03,2.0543229748761307e-03,10,1152
1,4.9087385212340517e-02,4.9087385212340517e-02,6.9420045908724470e-02,1.0000000000000000e+02,5.0000000000000000e+03,4.6788635951199464e-01,4.6674109749467607e-01,1.9449265430158044e-03,2.0014638208446706e-03,10,1152
2,7.3631077818510776e-02,7.3631077818510776e-02,1.0413006886308671e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.4494701681343574e-01,4.4375495606985388e-01,1.8618594028384321e-03,8.3725569036729845e-04,10,1152
3,9.8174770424681035e-02,9.8174770424681035e-02,1.3884009181744894e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.3547548012341997e-01,4.3501534535999620e-01,1.8188629251497679e-03,8.2491496765177690e-04,10,1152
4,1.2271846303085129e-01,1.2271846303085129e-01,1.7355011477181118e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.3395873108683980e-01,4.3249587505419285e-01,1.8481880073360755e-03,1.8856876600256444e-03,10,1152
5,1.4726215563702155e-01,1.4726215563702155e-01,2.0826013772617341e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.2221785657886401e-01,4.1928858982720030e-01,1.7459185716824418e-03,1.9237017703448856e-03,10,1152
6,1.7180584824319181e-01,1.7180584824319181e-01,2.4297016068053565e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.0698166914207118e-01,4.0910588930326225e-01,1.6874873624604767e-03,1.0635632915133035e-03,10,1152
7,1.9634954084936207e-01,1.9634954084936207e-01,2.7768018363489788e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.9666034268277095e-01,3.9721565505064882e-01,1.6424578388846572e-03,1.2265872819210663e-03,10,1152
8,2.2089323345553233e-01,2.2089323345553233e-01,3.1239020658926009e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.9137566022354409e-01,3.9037129429927764e-01,1.6340334587943907e-03,9.3051007833410771e-04,10,1152
9,2.4543692606170259e-01,2.4543692606170259e-01,3.4710022954362235e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.9145342341319078e-01,3.9241830108855352e-01,1.6311673186337277e-03,1.3962249871988367e-03,10,1152
10,2.6998061866787282e-01,2.6998061866787282e-01,3.8181025249798456e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.8290515863236396e-01,3.8446774254283550e-01,1.6117576722590188e-03,1.3915169058357089e-03,10,1152
11,2.9452431127404310e-01,2.9452431127404310e-01,4.1652027545234682e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.7817101470374481e-01,3.7939475144309026e-01,1.5835995603604510e-03,1.2623675460814001e-03,10,1152
12,3.1906800388021339e-01,3.1906800388021339e-01,4.5123029840670908e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.7439384451273061e-01,3.7510993849482721e-01,1.5130860023015286e-03,8.7745303414425778e-04,10,1152
13,3.4361169648638362e-01,3.4361169648638362e-01,4.8594032136107129e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.6353844895684850e-01,3.6369389709194272e-01,1.5029381643373019e-03,4.0137624763365208e-04,10,1152
14,3.6815538909255385e-01,3.6815538909255385e-01,5.2065034431543344e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.6507225990287767e-01,3.6399909670135411e-01,1.5286285564197438e-03,1.5138437465129922e-03,10,1152
15,3.9269908169872414e-01,3.9269908169872414e-01,5.5536036726979576e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.5077950018833237e-01,3.4901930790104485e-01,1.4711687891631325e-03,1.0168877434588105e-03,10,1152
16,4.1724277430489443e-01,4.1724277430489443e-01,5.9007039022415808e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.5496684771055165e-01,3.5559285264814772e-01,1.4050786573889559e-03,1.0222037676792459e-03,10,1152
17,4.4178646691106466e-01,4.4178646691106466e-01,6.2478041317852018e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.4573781885246835e-01,3.4686167843105958e-01,1.4020972815947928e-03,1.3664415424693536e-03,10,1152
18,4.6633015951723489e-01,4.6633015951723489e-01,6.5949043613288238e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.4324232392092430e-01,3.4275183318133323e-01,1.4460092855826151e-03,7.4676153275292975e-04,10,1152
19,4.9087385212340517e-01,4.9087385212340517e-01,6.9420045908724470e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.4331834607443273e-01,3.4609906505014143e-01,1.4592797699437582e-03,2.4264325347850453e-03,10,1152
20,5.1541754472957546e-01,5.1541754472957546e-01,7.2891048204160702e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.4251321734471396e-01,3.4449086455234651e-01,1.4150783713706189e-03,1.7946864132361720e-03,10,1152
21,5.3996123733574564e-01,5.3996123733574564e-01,7.6362050499596912e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.3236098861201824e-01,3.3405977159462935e-01,1.3701169746844089e-03,9.3078445507302401e-04,10,1152
22,5.6450492994191592e-01,5.6450492994191592e-01,7.9833052795033133e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.2922741154214485e-01,3.3000823799420681e-01,1.4031933471913591e-03,6.6410499288585881e-04,10,1152
23,5.8904862254808621e-01,5.8904862254808621e-01,8.3304055090469364e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.2522291287259819e-01,3.2693750894800305e-01,1.3540765661167076e-03,1.5216758488093534e-03,10,1152
24,6.1359231515425650e-01,6.1359231515425650e-01,8.6775057385905596e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.2593102881039449e-01,3.2612902617105133e-01,1.3793284052757179e-03,6.3248316772153011e-04,10,1152
