mode_index,kx,ky,k_abs,tau_min,tau_max,S_last,S_tail_mean,S_tail_sem,S_tail_std,tail_points,sample_count_min
0,2.4543692606170259e-02,2.4543692606170259e-02,3.4710022954362235e-02,1.0000000000000000e+02,5.0000000000000000e+03,4.6465074029764675e-01,4.6434073140167198e-01,1.9498884712572900e-03,8.5283419335751242e-04,10,1152
1,4.9087385212340517e-02,4.9087385212340517e-02,6.9420045908724470e-02,1.0000000000000000e+02,5.0000000000000000e+03,4.6103595753625803e-01,4.5897122965839010e-01,1.9018692847742225e-03,1.5807861251693990e-03,10,1152
2,7.3631077818510776e-02,7.3631077818510776e-02,1.0413006886308671e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.4140871024883288e-01,4.4280771361540383e-01,1.8554277675718891e-03,7.4207433536040460e-04,10,1152
3,9.8174770424681035e-02,9.8174770424681035e-02,1.3884009181744894e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.4373730038951642e-01,4.4174310895383045e-01,1.8058888494272510e-03,1.4032216963195589e-03,10,1152
4,1.2271846303085129e-01,1.2271846303085129e-01,1.7355011477181118e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.3178999772318599e-01,4.3058037657763554e-01,1.7873342882209508e-03,1.1057764796312919e-03,10,1152
5,1.4726215563702155e-01,1.4726215563702155e-01,2.0826013772617341e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.2027195961805108e-01,4.1940790184274429e-01,1.7729479972315380e-03,6.4366068911709748e-04,10,1152
6,1.7180584824319181e-01,1.7180584824319181e-01,2.4297016068053565e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.0401463652113839e-01,4.0398746476673786e-01,1.6757874274388267e-03,1.0795919634221161e-03,10,1152
7,1.9634954084936207e-01,1.9634954084936207e-01,2.7768018363489788e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.0991857141003579e-01,4.1006715819350836e-01,1.7175922524239496e-03,1.2312136355385707e-03,10,1152
8,2.2089323345553233e-01,2.2089323345553233e-01,3.1239020658926009e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.0545193624504788e-01,4.0744548726565399e-01,1.6707433101310256e-03,1.1017132802202713e-03,10,1152
9,2.4543692606170259e-01,2.4543692606170259e-01,3.4710022954362235e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.1393028588226460e-01,4.1197379551795904e-01,1.7330752925884276e-03,1.8769187499560851e-03,10,1152
10,2.6998061866787282e-01,2.6998061866787282e-01,3.8181025249798456e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.9852398390193472e-01,3.9875913826276121e-01,1.7222128939012836e-03,5.2993784798639981e-04,10,1152
11,2.9452431127404310e-01,2.9452431127404310e-01,4.1652027545234682e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.9253935751641056e-01,3.9173191058112289e-01,1.6508753041692785e-03,1.0756750907657947e-03,10,1152
12,3.1906800388021339e-01,3.1906800388021339e-01,4.5123029840670908e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.0095414877912305e-01,4.0194704569526307e-01,1.6150778517558782e-03,1.2076090991739751e-03,10,1152
13,3.4361169648638362e-01,3.4361169648638362e-01,4.8594032136107129e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.9400898927608485e-01,3.9444012524591587e-01,1.6790128181268997e-03,1.3043932391811992e-03,10,1152
14,3.6815538909255385e-01,3.6815538909255385e-01,5.2065034431543344e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.8895822391325452e-01,3.8627644349705259e-01,1.6005300999884051e-03,2.3375810887058851e-03,10,1152
15,3.9269908169872414e-01,3.9269908169872414e-01,5.5536036726979576e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.9949273878317587e-01,3.9768051296814727e-01,1.6684559830912661e-03,1.1365371536143070e-03,10,1152
