k,count,transfer_mean,dissipation_mean,production_mean,total_mean,transfer_sem,dissipation_sem,production_sem,total_sem
3.8349519697141029e-04,8.0000000000000000e+00,-1.7158271552254021e-09,-1.0976094008436150e-11,1.7323948549758454e-09,5.5916057420071813e-12,3.1487277808885306e-10,2.1140229028095003e-12,3.3209052443209140e-10,2.1305883845655766e-11
7.6699039394282058e-04,1.2000000000000000e+01,-6.5552038301357455e-10,-5.3585511068463965e-12,6.5965455719234069e-10,-1.2243769280801968e-12,1.8565880197039198e-10,1.2299549868286475e-12,1.8564084568101209e-10,2.9664736075212835e-12
1.1504855909142309e-03,1.6000000000000000e+01,-4.3372820556216030e-10,-4.0656836429766079e-12,4.3871691663747963e-10,9.2302743234267276e-13,8.0224269562677370e-11,4.7880732380491387e-13,8.0780495953736014e-11,5.0917914138694559e-13
1.5339807878856412e-03,3.2000000000000000e+01,-4.7514576526018006e-10,-4.6844284569756585e-12,4.7962989599936381e-10,-2.0029771779194144e-13,4.6141163236033404e-11,2.8251917821144030e-13,4.6287036892316230e-11,3.1858169659811019e-13
1.9174759848570515e-03,2.8000000000000000e+01,-2.4103909107241372e-10,-2.7197687090575004e-12,2.4358221302351267e-10,-1.7664675795851571e-13,1.8199331276321665e-11,1.2470438824314335e-13,1.8185360087586860e-11,3.5115871020485355e-13
2.3009711818284618e-03,4.0000000000000000e+01,-3.1055141416592688e-10,-3.6166564577591921e-12,3.1424828880326064e-10,8.0218179574562831e-14,1.3779243478265905e-11,1.5058610996016035e-13,1.3874231927624520e-11,9.4242872089177808e-14
2.6844663787998720e-03,4.0000000000000000e+01,-2.0628825049895633e-10,-2.8509459142588155e-12,2.0927976257461461e-10,1.4056616139944173e-13,8.1598642336221696e-12,1.1161582207600695e-13,8.2669998926068578e-12,1.4340309560285367e-13
3.0679615757712823e-03,4.8000000000000000e+01,-2.1623313028293550e-10,-2.9302880236430261e-12,2.1900613430306321e-10,-1.5728400351534171e-13,1.5597849057050982e-11,1.9225938077448396e-13,1.5708050352087704e-11,1.0687636539943062e-13
3.4514567727426926e-03,6.8000000000000000e+01,-2.3149354868854126e-10,-3.4781709300083391e-12,2.3496874221503069e-10,-2.9774035189197946e-15,1.1447127097409765e-11,1.8240575877852036e-13,1.1613607791707662e-11,5.1798726031637033e-14
3.8349519697141029e-03,5.6000000000000000e+01,-1.6564585734094172e-10,-2.5944266756060152e-12,1.6827627898381160e-10,3.5994967263896492e-14,6.0841951417490074e-12,6.0953722236260213e-14,6.0959098121005751e-12,2.0717953404020800e-14
4.2184471666855128e-03,7.2000000000000000e+01,-1.6673585731186399e-10,-2.7364968922355986e-12,1.6944894264860087e-10,-2.3411555498728645e-14,7.5894910312220065e-12,9.5228794666991997e-14,7.6584764753010189e-12,4.8618315207993615e-14
4.6019423636569235e-03,6.8000000000000000e+01,-1.2418185142529710e-10,-2.3252433194519601e-12,1.2645516215769829e-10,-5.1932587050770287e-14,4.5918426721393278e-12,6.0650886454508853e-14,4.5698202397848418e-12,2.4119394168037935e-14
4.9854375606283342e-03,8.8000000000000000e+01,-1.4643221507426872e-10,-2.7582550423608170e-12,1.4920272704172593e-10,1.2256925096400501e-14,6.8603696246434661e-12,6.8761619082177440e-14,6.8841799264116425e-12,1.7017309017674433e-14
5.3689327575997441e-03,8.8000000000000000e+01,-1.3004644723435614e-10,-2.5107876200697227e-12,1.3258908364140135e-10,3.1848786975485316e-14,3.1131938010204220e-12,5.9207451511167824e-14,3.1123614546128073e-12,2.6430815247225981e-14
5.7524279545711540e-03,8.4000000000000000e+01,-1.0368672363215012e-10,-2.1773651335322796e-12,1.0587520486378203e-10,1.1116098099641226e-14,3.3525058608325714e-12,5.7458688198914570e-14,3.3242023369920974e-12,1.8841622193922319e-14
6.1359231515425647e-03,1.1200000000000000e+02,-1.2468088379103081e-10,-2.7535321303441743e-12,1.2742505351411240e-10,-9.3624072625977595e-15,3.0957102063195194e-12,8.1943756469199505e-14,3.0545882617147641e-12,2.1239627626073188e-14
6.5194183485139754e-03,1.1200000000000000e+02,-1.0772312997836306e-10,-2.5496802835879816e-12,1.1027125294419041e-10,-1.5573177606395945e-15,3.4748944810435679e-12,5.6194060945733450e-14,3.4701769332495796e-12,7.5299254952677572e-15
6.9029135454853853e-03,1.1200000000000000e+02,-9.8634601388376148e-11,-2.3860720177777194e-12,1.0100583640450291e-10,-1.4837001650961071e-14,2.0808299079112027e-12,7.6239987332888732e-14,2.1280789274144842e-12,6.7048517191476545e-15
7.2864087424567951e-03,1.1600000000000000e+02,-9.1672520623278678e-11,-2.3377683724285167e-12,9.4016429404839940e-11,6.1404091327493192e-15,1.9074470919064310e-12,7.6495939998192879e-14,1.9447308889063541e-12,1.2075529510042167e-14
7.6699039394282058e-03,1.1200000000000000e+02,-7.7620436155926007e-11,-2.1263833366998344e-12,7.9743547995850429e-11,-3.2714967754253075e-15,2.0469128872519753e-12,7.7458018755853737e-14,2.0969671218157857e-12,6.4872623431692353e-15
8.0533991363996166e-03,1.4400000000000000e+02,-9.4787949714262589e-11,-2.6512523575509111e-12,9.7436287229401195e-11,-2.9148424122924434e-15,1.2968443687993007e-12,8.2981581484325043e-14,1.3460878250552358e-12,1.0502450926507467e-14
8.4368943333710256e-03,1.4000000000000000e+02,-8.2331284023712017e-11,-2.4462774401349116e-12,8.4788975204736451e-11,1.1413740889505831e-14,1.9824642615660053e-12,7.9317428837841410e-14,2.0208856992187338e-12,5.0703457683074824e-15
8.8203895303424363e-03,1.4400000000000000e+02,-7.7758995150012907e-11,-2.4162647664092410e-12,8.0175337265111740e-11,7.7348689577303679e-17,9.2637515712737122e-13,6.1126865340483263e-14,8.9802219256175131e-13,3.8237229449620463e-15
9.2038847273138470e-03,1.4400000000000000e+02,-6.9499675809848302e-11,-2.3172966543343762e-12,7.1821109364859058e-11,4.1369006763803446e-15,7.1317855172910421e-13,7.6124911781811191e-14,7.0331569533563113e-13,4.0065584138196192e-15
9.5873799242852577e-03,1.6800000000000000e+02,-7.6272749449481843e-11,-2.6204701232172276e-12,7.8893191542125371e-11,-2.8030573708587050e-17,1.0484065980825703e-12,7.6070279233339254e-14,1.0276480787570100e-12,3.5091886970447393e-15
9.9708751212566685e-03,1.6400000000000000e+02,-6.8479293509053325e-11,-2.4843390137320982e-12,7.0968441665728360e-11,4.8091429429301830e-15,6.4914901746128881e-13,7.7319086680911001e-14,5.9699591507054488e-13,3.5954945562946781e-15
1.0354370318228077e-02,1.6000000000000000e+02,-6.1223757400549365e-11,-2.3259412780971254e-12,6.3552475358724557e-11,2.7766800780676505e-15,1.0448802333828428e-12,6.2485787225299232e-14,1.0537965918778936e-12,3.0562495786306384e-15
1.0737865515199488e-02,1.8400000000000000e+02,-6.4704527179500884e-11,-2.6124476106639899e-12,6.7309817422849859e-11,-7.1573673150218131e-15,9.6139975952349880e-13,8.0208355195237589e-14,9.6948276740030944e-13,2.6512360767600461e-15
1.1121360712170899e-02,1.7200000000000000e+02,-5.5873268527872859e-11,-2.3735719046592768e-12,5.8243760870852114e-11,-3.0795616800218495e-15,6.1020907515191179e-13,7.0706462816538553e-14,6.4484544018034692e-13,3.4919474912488377e-15
1.1504855909142308e-02,2.0000000000000000e+02,-5.9051201624840364e-11,-2.7004613956285532e-12,6.1751201438982355e-11,-4.6158148657010499e-16,6.5440161118676307e-13,8.6290628704107827e-14,7.0800785344320312e-13,2.3732126819107115e-15
1.1888351106113719e-02,1.9200000000000000e+02,-5.6115179367027578e-11,-2.5562144916105442e-12,5.8672143862127771e-11,7.5000348965606387e-16,7.1712193915240332e-13,7.4112073657328798e-14,7.5880682204784304e-13,2.1859531858972506e-15
