window,t_start,t_end,n_replica,E_K_mean,E_K_sem,psi2_mean,psi2_sem,dissipation_mean,dissipation_sem,production_mean,production_sem,length_mean,length_sem
segment_001_all,0.0,400000000.0,8,1.3052359712562060e+05,2.6435905747147772e+00,1.5789120998289997e+06,5.8517304781771971e+04,9.7576260807793868e-09,6.4778107534829620e-11,9.7683737402604357e-09,6.5211056874926591e-11,2.9930575284467488e+02,4.2700329970517918e+00
segment_002_all,400000000.0,800000000.0,8,1.3055626676522815e+05,1.5572193651168582e+00,2.6243371227940614e+06,1.8764163146212246e+05,1.0604765130191001e-08,1.5203481252284518e-10,1.0605937354809494e-08,1.5322561024052867e-10,3.7829289516185906e+02,1.1389738134209241e+01
segment_003_all,800000000.0,1200000000.0,8,1.3056190305560589e+05,1.6095089278307924e+00,3.6289485268512703e+06,2.9741183441640728e+05,1.0905732524386132e-08,1.2080501471478520e-10,1.0912628021205335e-08,1.2226120250453761e-10,4.3562780931618886e+02,1.5690209630203633e+01
segment_003_first_half,800000000.0,1000000000.0,8,1.3056288573068703e+05,2.4303730779121850e+00,3.3472376655997490e+06,3.5623015485663060e+05,1.0806838049929049e-08,1.5993472501310284e-10,1.0817028822804583e-08,1.6097660290174124e-10,4.1923212875419756e+02,1.9672067879224027e+01
segment_003_last_half,1000000000.0,1200000001.0,8,1.3056092038052474e+05,3.2106784650786064e+00,3.9106593881027917e+06,3.3642820115686452e+05,1.1004626998843213e-08,1.7917346555459629e-10,1.1008227219606084e-08,1.8011812515328059e-10,4.5202348987818004e+02,1.5880993355037592e+01
segment_003_q3,1000000000.0,1100000000.0,8,1.3056237047162108e+05,6.7889266094026723e+00,3.9091971595708951e+06,3.4013169936701114e+05,1.1038180798717388e-08,1.5200358440924153e-10,1.1047085050788336e-08,1.5155713619106788e-10,4.5179247360912194e+02,1.7351512131578737e+01
segment_003_q4,1100000000.0,1200000001.0,8,1.3055947052699246e+05,4.6843399573011508e+00,3.9121213770821760e+06,3.9238538056081650e+05,1.0971078695987370e-08,2.1992495091534675e-10,1.0969375754385689e-08,2.2016927584138103e-10,4.5225446830053619e+02,1.8667576132755865e+01
