d0,d0_label,steady_start,steady_end,psi2,psi2_sem,induced,induced_sem,length,length_sem,n_samples,eta,mobility,schmidt_number
0.0080000000000000002,0.008,100000000,200000000,4644.369958304962,91.489096824295302,1.5515649285995106e-09,6.6358774415114571e-12,233.98877475160387,1.5470303144925333,288,0.0080000000000000002,0.0080000000000000002,1
0.014999999999999999,0.015,100000000,200000000,4021.5593205626483,64.526046414129624,1.6082308128758099e-09,5.0568538097417186e-12,294.02494809211419,1.7446865466617971,288,0.014999999999999999,0.014999999999999999,1
0.029999999999999999,0.03,50000000,100000000,3469.1717900446611,55.584056370379635,1.6434959979336684e-09,4.6842998771151106e-12,381.89724344708679,2.4056955098001289,288,0.029999999999999999,0.029999999999999999,1
0.059999999999999998,0.06,50000000,100000000,3004.9707633050816,39.016643210122091,1.6080857413111324e-09,3.4035005578476952e-12,509.97004123322949,2.7025818240948469,288,0.059999999999999998,0.059999999999999998,1
0.12,0.120,10000000,20000000,2666.2204661563028,38.559740332898684,1.4654230737039213e-09,3.4725911336862229e-12,705.02875093746013,3.9560297852790485,576,0.12,0.12,1
0.25,0.250,10000000,20000000,2230.6682422444005,25.601989202721096,1.1510560479339213e-09,2.398006916649621e-12,1055.8568676312416,4.7971896116608521,576,0.25,0.25,1
0.5,0.500,5000000,10000000,1378.4360324054378,19.042334767516468,7.563419695434395e-10,2.0808722904177507e-12,1441.4002040255323,7.5051277842555857,576,0.5,0.5,1
1,1.000,5000000,10000000,531.49033335135653,5.7917198259040106,4.2313540735486973e-10,9.6381403976011372e-13,1701.4423256180073,7.1511026024786126,576,1,1,1
2,2.000,5000000,10000000,155.39386500050284,1.3352349096624421,2.1936567976189834e-10,4.0438661661240184e-13,1813.7098557312186,6.0910219769052611,576,2,2,1
4,4.000,5000000,10000000,39.842287608584968,0.25407691885924888,1.1037795655178431e-10,1.5139332679902289e-13,1836.5530767525597,4.5163124666851315,576,4,4,1
