d0,d0_label,time,E_K_mean,E_K_sem,psi2_mean,psi2_sem,induced_mean,induced_sem,production_mean,production_sem,n_samples
0.0080000000000000002,0.008,1000,761.45379142753779,0.60065309727111027,0.58260331491224226,0.00048452785190090621,2.4054772222259036e-12,2.3712017685164844e-15,5.2106684841878359e-11,4.8920002248284435e-14,288
0.0080000000000000002,0.008,81000,7543.6866311245894,5.4021109235151226,364.81264950183009,0.4174451715543846,8.5205719088304399e-10,9.6156314325722532e-13,8.8746414911515273e-10,1.9383288659787279e-12,288
0.0080000000000000002,0.008,161000,7803.1393390244293,5.4692407177955831,437.44803432301694,0.72178864772229467,9.1980676950389526e-10,1.2752497416424695e-12,9.4568624425541005e-10,2.2973721600700075e-12,288
0.0080000000000000002,0.008,241000,7888.294481425105,5.2972955967795254,494.16603366387415,1.0134431907644665,9.6166403349625043e-10,1.4629873030911415e-12,9.8003243576276658e-10,2.4189207285175879e-12,288
0.0080000000000000002,0.008,321000,7930.7959527639869,5.5793947843591836,545.06295831000125,1.270026192203914,9.9358455134925627e-10,1.5210570814669004e-12,1.011494865145205e-09,2.5192183774725492e-12,288
0.0080000000000000002,0.008,401000,7957.7477318174333,5.5931516330586213,591.92012080651796,1.6408208575276779,1.0208458678108647e-09,1.654577910100224e-12,1.034686680166511e-09,2.6659380905772799e-12,288
0.0080000000000000002,0.008,481000,7975.8935640251857,5.1843232989496615,634.22562735306747,1.9360646554517362,1.0389233312358346e-09,1.7553266040984386e-12,1.0555982024062812e-09,2.5794678298181502e-12,288
0.0080000000000000002,0.008,561000,7991.8910650630378,5.4032273774130033,672.95800398632684,2.1025608214462217,1.0587489181104302e-09,1.7088012298271553e-12,1.0696023565181628e-09,2.6046726425703089e-12,288
0.0080000000000000002,0.008,641000,7987.9628355238365,5.1200273371765714,708.88157440454791,2.5124187475148916,1.0679621980857936e-09,1.8093652492328462e-12,1.0851369652897606e-09,2.602759111791002e-12,288
0.0080000000000000002,0.008,721000,8003.1581947612412,5.3840073865204188,745.44439877647903,2.9169322445229624,1.0812678736429485e-09,1.8933639343601769e-12,1.0961369900459287e-09,2.8513874634221018e-12,288
0.0080000000000000002,0.008,801000,8017.8057116784494,5.3097897996271328,780.2280682106998,3.2568852473643606,1.094575630136948e-09,2.0413009301283961e-12,1.1039270844443349e-09,2.8529557636263821e-12,288
0.0080000000000000002,0.008,881000,8018.372848756746,5.5651220201802811,812.63327392625035,3.5833845565963309,1.1049898691942454e-09,2.0809776798398674e-12,1.1203079912828554e-09,2.899362208574414e-12,288
0.0080000000000000002,0.008,961000,8027.6928701094776,5.3853528765605301,846.85885578969658,4.0996351485377716,1.116264407375242e-09,2.3170694719653228e-12,1.1295685938910073e-09,3.0485627864745825e-12,288
0.0080000000000000002,0.008,1041000,8023.5154257470604,5.1682496267688194,880.37066132366635,4.5514259762669589,1.1246190671394543e-09,2.2229777773775499e-12,1.1392690201924029e-09,3.0449593062878118e-12,288
0.0080000000000000002,0.008,1121000,8022.9187645873417,5.3181183692188734,911.33256398454591,4.8745090671735731,1.1322843940714943e-09,2.3383061916789841e-12,1.1440413705616162e-09,2.923558757389592e-12,288
0.0080000000000000002,0.008,1201000,8018.3181986953277,5.0500302140744564,940.90279104818342,5.3699504328086993,1.140274437374502e-09,2.2878627562703197e-12,1.1525762532484959e-09,3.2142926376435444e-12,288
0.0080000000000000002,0.008,1281000,8023.582607639737,5.6031163561068542,975.11539491141093,5.8860875725404869,1.1501671241165892e-09,2.5193221945911826e-12,1.1636878774601078e-09,3.3634248471805329e-12,288
0.0080000000000000002,0.008,1361000,8030.5433382456249,4.9058064528532901,1001.5527094052143,6.1005900276358709,1.1582328596911177e-09,2.6469235470359766e-12,1.1655468674698424e-09,3.3507722533910269e-12,288
0.0080000000000000002,0.008,1441000,8035.1900685775572,5.6059950125489113,1031.2938626261644,6.6379028435075753,1.1650634665108588e-09,2.5597959338558026e-12,1.1742797815636247e-09,3.2616471356002504e-12,288
0.0080000000000000002,0.008,1521000,8038.3954923580568,5.3605482198436247,1059.9193026038038,7.009765031384311,1.1659050087581472e-09,2.5562885269208727e-12,1.1810276280732511e-09,3.240771264705823e-12,288
0.0080000000000000002,0.008,1601000,8035.7101600379183,5.4733517342453109,1090.3363789037198,7.6567838003521116,1.1773836243065861e-09,2.7823853292249174e-12,1.1866673803184719e-09,3.6167677746349832e-12,288
0.0080000000000000002,0.008,1681000,8042.1108627916319,5.7442355525670656,1119.4067033629633,8.2615814794558275,1.1821185379520286e-09,2.7502065277514037e-12,1.1921561492594216e-09,3.4316723851641375e-12,288
0.0080000000000000002,0.008,1761000,8026.3840421778859,5.4197051526633668,1150.5131097624983,8.6370606686606148,1.190613956367129e-09,2.9261069407839137e-12,1.1989083643269107e-09,3.4407161476373093e-12,288
0.0080000000000000002,0.008,1841000,8046.601063111837,5.3876131838580248,1179.9769129688866,9.2972679572670263,1.1991320447632709e-09,2.8867524964987325e-12,1.2074196431303958e-09,3.6232341903545083e-12,288
0.0080000000000000002,0.008,1921000,8046.2861616553746,5.5348485187160339,1209.774211114169,9.7843084258547943,1.2038474904963885e-09,2.7925059934415276e-12,1.2138579180515182e-09,3.7801898187568852e-12,288
0.0080000000000000002,0.008,2001000,8048.3696009168452,5.4244818621870126,1239.8835900758627,10.1685552278137,1.2100253165082645e-09,3.0688916738447474e-12,1.2197947996282552e-09,3.5436821613097692e-12,288
0.0080000000000000002,0.008,2081000,8038.2845395766235,5.1676377680885697,1266.1835780368938,10.679886003966921,1.2122149426517224e-09,3.0900511251050071e-12,1.2258658461847069e-09,3.5210145706514121e-12,288
0.0080000000000000002,0.008,2161000,8038.8699127078244,5.3280773307706601,1294.0232494270022,11.069687629681454,1.2181923641963581e-09,3.0292795435238183e-12,1.2237339839322229e-09,3.7546357655342821e-12,288
0.0080000000000000002,0.008,2241000,8049.859277104807,5.6172947980162489,1316.6800690804473,11.712011237912073,1.2239778359192077e-09,3.1318928442369942e-12,1.2290309454784711e-09,3.8232423454747311e-12,288
0.0080000000000000002,0.008,2321000,8047.7206450059539,5.4152056831440367,1339.4143771564734,12.263062832801293,1.2277941143484275e-09,3.380663234093985e-12,1.2326149846200297e-09,3.9907144282895909e-12,288
0.0080000000000000002,0.008,2401000,8047.992188642912,4.7121876645942367,1362.2324653615362,12.651538188384849,1.2294223248062571e-09,3.1185441364570368e-12,1.2365270461455712e-09,3.9721477718530165e-12,288
0.0080000000000000002,0.008,2481000,8044.5912998256936,5.3395162346285083,1384.4526411110858,13.182988743608167,1.2323766967320851e-09,3.2782545431319661e-12,1.2413633929626375e-09,3.9579800145934286e-12,288
0.0080000000000000002,0.008,2562000,8044.7924398043942,5.2371288473470852,1406.5034206211301,13.647763959315578,1.2386784060444608e-09,3.3535400305762506e-12,1.2462905031153899e-09,3.7123329925004771e-12,288
0.0080000000000000002,0.008,2642000,8047.6781695801146,5.5131726987267022,1428.2192107342325,14.313888903512565,1.2412807282642788e-09,3.4695363591361966e-12,1.2485833130301521e-09,4.0577989450805567e-12,288
0.0080000000000000002,0.008,2722000,8038.7072126419453,5.0964273695149993,1451.0245186477239,15.008770185322009,1.243339890128722e-09,3.3468953979913401e-12,1.2546198948821694e-09,3.9844537234150325e-12,288
0.0080000000000000002,0.008,2802000,8056.9996856366552,5.6490706122778827,1473.3825957680831,15.504600844233989,1.2540633776054656e-09,3.5703597713358282e-12,1.2592320780592103e-09,4.2637141061505856e-12,288
0.0080000000000000002,0.008,2882000,8046.7423770392616,5.1624129072209888,1494.3305616321366,16.116954568771483,1.2548370903769572e-09,3.4568605224997696e-12,1.2616239648216245e-09,4.2202195680759022e-12,288
0.0080000000000000002,0.008,2962000,8051.3356062336052,4.915918815669583,1518.127541530698,16.777778148041033,1.2579327830043609e-09,3.7078926048169209e-12,1.2702499017994671e-09,4.4437063096465869e-12,288
0.0080000000000000002,0.008,3042000,8053.8319044338523,5.6086288719975093,1538.884494530741,17.667902264282066,1.261644838407637e-09,3.5779531374840779e-12,1.2666481148165892e-09,4.3179004433570634e-12,288
0.0080000000000000002,0.008,3122000,8053.2709016402696,5.1098311613613667,1558.8410278659153,18.450179995812075,1.2634495325324513e-09,3.844743751081204e-12,1.2694921785138705e-09,4.5767995437059005e-12,288
0.0080000000000000002,0.008,3202000,8049.1287370014506,5.3574814161841298,1574.4139197703339,19.092749668084888,1.2623265864361304e-09,3.9437889087021778e-12,1.2681810520132571e-09,4.4674571689786284e-12,288
0.0080000000000000002,0.008,3282000,8057.8201357986673,4.9542816881659721,1598.2737210374241,19.741649324639514,1.2656384375810274e-09,3.9807564490665469e-12,1.2782350870601999e-09,4.4271064299750023e-12,288
0.0080000000000000002,0.008,3362000,8047.8533178708185,5.1685451955210118,1620.0467084791765,20.359609024965668,1.2701931068547732e-09,3.8852624929939121e-12,1.2782270694224303e-09,4.5504446487949033e-12,288
0.0080000000000000002,0.008,3442000,8048.2475032710972,5.3809659539668475,1639.6128435408041,21.061254127109475,1.270000501334521e-09,3.9916295830172124e-12,1.2768339475680498e-09,4.7715483115939117e-12,288
0.0080000000000000002,0.008,3522000,8050.5115377884213,5.5847834765524853,1662.7994715368488,21.597968313705898,1.2715385493448187e-09,4.2509740684173071e-12,1.2830830576427988e-09,4.5435466812065285e-12,288
0.0080000000000000002,0.008,3602000,8054.3236242204021,5.1477447427598877,1686.2502022429335,22.260173213885288,1.2747778637588911e-09,3.9276750899950955e-12,1.2818162923979813e-09,4.5506085996725865e-12,288
0.0080000000000000002,0.008,3682000,8057.1029686746979,4.8723611422129256,1709.7511748889747,23.132390412470215,1.2823257007070452e-09,4.0977917655798191e-12,1.2892976546223518e-09,4.7959809359812997e-12,288
0.0080000000000000002,0.008,3762000,8057.9057101684302,5.4151259120054247,1729.4648007653623,23.614634688258565,1.2848675249753682e-09,4.2392544574902778e-12,1.2902176932879002e-09,4.7493978631302655e-12,288
0.0080000000000000002,0.008,3842000,8063.0929444757721,5.0411882874013827,1748.8636655536784,24.062165671905483,1.2890523422558804e-09,4.2569070518346024e-12,1.2952817079886943e-09,4.7505786666789259e-12,288
0.0080000000000000002,0.008,3922000,8055.6367964308192,5.132311906615775,1767.1626808966112,24.717198090593879,1.2928492866233963e-09,4.3147326688497991e-12,1.3005318862641862e-09,4.7916260167242797e-12,288
0.0080000000000000002,0.008,4002000,8060.3094987159893,5.5879300210540208,1786.1569250388097,25.118010155256275,1.2970417634749025e-09,4.2843348572212207e-12,1.3049129730043986e-09,5.1113672414417776e-12,288
0.0080000000000000002,0.008,4082000,8054.781442869089,5.0598728557080053,1800.4448866562821,25.268982235431373,1.2975686972391529e-09,4.133420235354376e-12,1.2993273366567544e-09,4.5358904953435934e-12,288
0.0080000000000000002,0.008,4162000,8055.9440981387388,5.079773763234166,1819.423549703258,25.739081878825132,1.3017460296849901e-09,4.22337990911416e-12,1.308686205482034e-09,4.9837471008007714e-12,288
0.0080000000000000002,0.008,4242000,8057.8299226100899,5.7362337345297245,1838.6028724276039,26.161777670894015,1.3066302924619016e-09,4.408747734359602e-12,1.3104586287325452e-09,4.8265598680077372e-12,288
0.0080000000000000002,0.008,4322000,8054.7209828039404,4.9635583930590537,1851.5626275807017,26.629771831028826,1.3079041186083149e-09,4.4966573961657998e-12,1.3095112583395114e-09,4.907182413129536e-12,288
