window,t_start,t_end,n_replica,E_K_mean,E_K_sem,psi2_mean,psi2_sem,dissipation_mean,dissipation_sem,production_mean,production_sem,length_mean,length_sem
segment_001_all,16384.0,99991553.0,8,1.3055520243388122e+05,2.1712099203071578e+00,1.8368979148977613e+06,1.0769525720573404e+05,1.0327963731518213e-08,4.9252163553048330e-11,1.0384008978329742e-08,5.0762371137388883e-11,1.6950277259053685e+03,4.7495512641528812e+01
segment_001_first_half,16384.0,50003968.5,8,1.3055583099234685e+05,2.6921586911908530e+00,1.4484460836491419e+06,1.4141074415461562e+05,1.0079095088367243e-08,7.7336964309444978e-11,1.0153648420405907e-08,8.4925526490788966e-11,1.5014691609988597e+03,6.0166720358962500e+01
segment_001_last_half,50003968.5,99991553.0,8,1.3055457366939838e+05,2.3830083666761857e+00,2.2254770656584250e+06,1.8706330496362594e+05,1.0576913944201518e-08,9.5809612672024095e-11,1.0614445039550180e-08,1.0744438668661669e-10,1.8886497318361007e+03,7.8242654848776183e+01
segment_001_q3,50003968.5,74997760.75,8,1.3055636626938661e+05,2.7361514480022651e+00,1.9540628846282838e+06,1.5336651310375123e+05,1.0460650466515603e-08,1.2992626543515399e-10,1.0454177366011343e-08,1.4079125020215751e-10,1.7916683771376283e+03,7.0950497527894953e+01
segment_001_q4,74997760.75,99991553.0,8,1.3055278224411524e+05,2.7768561565737246e+00,2.4967133868058468e+06,3.0318442154458369e+05,1.0693101233501004e-08,1.4464512867936172e-10,1.0774607688401245e-08,1.6415435377573240e-10,1.9855675338774968e+03,1.1103384529667817e+02
