nk,k,amplitude,time,u_mean,u_sem,n_samples
1,0.024543692606170259,7.2324092000000006e-05,99.99999999998154,0.0036215421477036672,0.0001559703761605817,16
1,0.024543692606170259,7.2324092000000006e-05,199.9999999998906,0.010258046322147886,0.00036321716260530893,16
1,0.024543692606170259,7.2324092000000006e-05,299.99999999979968,0.01699778774403608,0.00041690501022767035,16
1,0.024543692606170259,7.2324092000000006e-05,399.99999999970873,0.023885393042765816,0.00058725433493662927,16
1,0.024543692606170259,7.2324092000000006e-05,499.99999999961778,0.030525025505088465,0.00064062028386048411,16
1,0.024543692606170259,7.2324092000000006e-05,599.99999999952684,0.036940019825971733,0.00072516790559340699,16
1,0.024543692606170259,7.2324092000000006e-05,699.99999999943589,0.043109244553354464,0.00079058367875469826,16
1,0.024543692606170259,7.2324092000000006e-05,799.99999999934494,0.049232168268722384,0.00079642337212517875,16
1,0.024543692606170259,7.2324092000000006e-05,899.99999999925399,0.055374765194005734,0.0008830496427405303,16
1,0.024543692606170259,7.2324092000000006e-05,999.99999999916304,0.061179838945271757,0.0010075057154023096,16
1,0.024543692606170259,7.2324092000000006e-05,1100.0000000008001,0.066707547061610334,0.00095421766063537761,16
1,0.024543692606170259,7.2324092000000006e-05,1200.0000000029829,0.071990357641978864,0.00094002014926768194,16
1,0.024543692606170259,7.2324092000000006e-05,1300.0000000051657,0.077449432660831,0.00098968540164266197,16
1,0.024543692606170259,7.2324092000000006e-05,1400.0000000073485,0.082624859476273682,0.0010207582923922975,16
1,0.024543692606170259,7.2324092000000006e-05,1500.0000000095313,0.088098669660242684,0.00098020369550692182,16
1,0.024543692606170259,7.2324092000000006e-05,1600.0000000117141,0.092896657987772413,0.00095121582301200538,16
1,0.024543692606170259,7.2324092000000006e-05,1700.0000000138969,0.097246658612273301,0.00097140507944583527,16
1,0.024543692606170259,7.2324092000000006e-05,1800.0000000160796,0.10188999289513137,0.0010141250971840924,16
1,0.024543692606170259,7.2324092000000006e-05,1900.0000000182624,0.1062819416163973,0.0010877505486959062,16
1,0.024543692606170259,7.2324092000000006e-05,2000.0000000204452,0.11023581545797062,0.0010549629608023368,16
1,0.024543692606170259,7.2324092000000006e-05,2100.0000000226278,0.11427472940286251,0.0010706421901931103,16
1,0.024543692606170259,7.2324092000000006e-05,2200.0000000248106,0.1181026397168282,0.0010229140136939006,16
1,0.024543692606170259,7.2324092000000006e-05,2300.0000000269933,0.12145460747294648,0.001082384311497972,16
1,0.024543692606170259,7.2324092000000006e-05,2400.0000000291761,0.12469961885027531,0.0010186720942796928,16
1,0.024543692606170259,7.2324092000000006e-05,2500.0000000313589,0.12815516050833928,0.0010653106040991317,16
1,0.024543692606170259,7.2324092000000006e-05,2600.0000000335417,0.13165217967140261,0.0012679584930366744,16
1,0.024543692606170259,7.2324092000000006e-05,2700.0000000357245,0.13512012511005272,0.0013881748096058147,16
1,0.024543692606170259,7.2324092000000006e-05,2800.0000000379073,0.1383613556630989,0.0015880731470910043,16
1,0.024543692606170259,7.2324092000000006e-05,2900.0000000400901,0.1412386638113009,0.0016287756678375375,16
1,0.024543692606170259,7.2324092000000006e-05,3000.0000000422729,0.14401820513250249,0.0015544370099432193,16
1,0.024543692606170259,7.2324092000000006e-05,3100.0000000444556,0.14667005828233792,0.0014957244835816354,16
1,0.024543692606170259,7.2324092000000006e-05,3200.0000000466384,0.14974355101369399,0.0014469639293618664,16
1,0.024543692606170259,7.2324092000000006e-05,3300.0000000488212,0.15276543885099897,0.0014007394349956426,16
1,0.024543692606170259,7.2324092000000006e-05,3400.000000051004,0.155216821685288,0.0013980351747705224,16
1,0.024543692606170259,7.2324092000000006e-05,3500.0000000531868,0.15751647106602329,0.001417989790060433,16
1,0.024543692606170259,7.2324092000000006e-05,3600.0000000553696,0.16036311302099956,0.001388884933455259,16
1,0.024543692606170259,7.2324092000000006e-05,3700.0000000575524,0.16298690088271217,0.0014220706347253865,16
1,0.024543692606170259,7.2324092000000006e-05,3800.0000000597352,0.16531828968718815,0.0014398444706753839,16
1,0.024543692606170259,7.2324092000000006e-05,3900.0000000619179,0.1681917623770037,0.0014620184856227914,16
1,0.024543692606170259,7.2324092000000006e-05,4000.0000000641007,0.17123998561349593,0.0015704138143942717,16
1,0.024543692606170259,7.2324092000000006e-05,4100.0000000662831,0.17352014381582992,0.001505738846432863,16
1,0.024543692606170259,7.2324092000000006e-05,4200.0000000684659,0.17578850535869942,0.0014853567537922764,16
1,0.024543692606170259,7.2324092000000006e-05,4300.0000000706486,0.17818134498440671,0.001552927615222811,16
1,0.024543692606170259,7.2324092000000006e-05,4400.0000000728314,0.18030966249589139,0.0015296646413321235,16
1,0.024543692606170259,7.2324092000000006e-05,4500.0000000750142,0.18237063799735009,0.0014816728521948586,16
1,0.024543692606170259,7.2324092000000006e-05,4600.000000077197,0.18446675786125422,0.001580202436543666,16
1,0.024543692606170259,7.2324092000000006e-05,4700.0000000793798,0.18701079503371967,0.0017535797469021941,16
1,0.024543692606170259,7.2324092000000006e-05,4800.0000000815626,0.18896814861703323,0.0018258604754334529,16
1,0.024543692606170259,7.2324092000000006e-05,4900.0000000837454,0.19073182704853009,0.0019606731041642068,16
1,0.024543692606170259,7.2324092000000006e-05,5000.0000000859281,0.19271350385903013,0.0019855686221076406,16
