steady_start,nk,k,amplitude,u_steady_mean,u_steady_sem,eta_eff_mean,eta_eff_sem,n_samples
30000,1,0.024543692606170259,7.2324092000000006e-05,0.24858508583355901,0.0026371178667919958,0.48384489331248126,0.0054555878231283238,16
30000,2,0.049087385212340517,0.00027144876999999999,0.058168125093039161,0.00069231434937648713,1.9407846057032065,0.022883087145428933,16
30000,3,0.073631077818510776,0.00058599502999999995,0.061769096815657086,0.0008671313990072999,1.7548736401906091,0.02387986600857897,16
30000,4,0.098174770424681035,0.0010093680000000001,0.065155990228386709,0.0013287556888623127,1.615938644248474,0.028402982722332479,16
30000,5,0.12271846303085129,0.0015367204,0.080575204916781606,0.0050449541556574088,1.3171317098038624,0.05426679469633934,16
30000,6,0.14726215563702155,0.0021641624,0.089379237530475886,0.0029290900615382676,1.1316205542335513,0.030961330972838364,16
30000,8,0.19634954084936207,0.0037066350999999998,0.12429586360941551,0.0043147118590085871,0.78607068799743751,0.024309372091997895,16
30000,10,0.24543692606170259,0.0056150851999999998,0.17327640463292709,0.0030818988284259897,0.5407352078494263,0.010504699847394756,16
30000,12,0.2945243112740431,0.0078719294999999995,0.20209925246077803,0.0011158619886299935,0.44923453155244375,0.0024847164591190983,16
30000,16,0.39269908169872414,0.013372873,0.22887968810115861,0.00028704835120080903,0.3788855068138714,0.00047752584518652994,16
30000,20,0.49087385212340517,0.020109385,0.23674393667417964,0.00010147523632478194,0.35251802148462386,0.00015117735212607047,16
30000,24,0.58904862254808621,0.027999133999999998,0.24136394035254133,6.7091004491414997e-05,0.33432621056791306,9.2971129847444891e-05,16
30000,28,0.68722339297276724,0.036971134000000003,0.2447870791202312,5.2347699753308973e-05,0.31980018499262097,6.8388309089185409e-05,16
30000,32,0.78539816339744828,0.04696231,0.24782283860085888,4.9031470059823136e-05,0.30720523777923359,6.0759700780778634e-05,16
30000,36,0.88357293382212931,0.057915420000000002,0.25086452971769174,2.9518221457610097e-05,0.29571287453656325,3.4800090880600543e-05,16
30000,40,0.98174770424681035,0.069777689000000004,0.25372383850647318,2.4224082544911211e-05,0.285335349904555,2.7235678180198447e-05,16
30000,48,1.1780972450961724,0.096035544,0.25962444252699846,2.1336322516474461e-05,0.26651655255516715,2.1901086990731265e-05,16
30000,64,1.5707963267948966,0.15745869000000001,0.27183499738283146,1.9914386540960863e-05,0.23475861877341209,1.7198890379172935e-05,16
