steady_start,nk,k,amplitude,u_steady_mean,u_steady_sem,eta_eff_mean,eta_eff_sem,n_samples
30000,1,0.024543692606170259,7.2324091999999999e-06,0.025084042780874782,0.00080946237239021941,0.4856223578977627,0.014553880395347081,16
30000,2,0.049087385212340517,2.7144876999999999e-05,0.023637972833891453,0.00037684694795992444,0.47842122535781806,0.0077033915190001696,16
30000,3,0.073631077818510776,5.8599503000000002e-05,0.0242463809994902,0.00033994347414362632,0.44708212679859249,0.0061909222082689548,16
30000,4,0.098174770424681035,0.0001009368,0.024257417496437901,0.00017337134504744975,0.43205529107326213,0.0031022181727475198,16
30000,5,0.12271846303085129,0.00015367203999999999,0.023972983411976286,0.00018702414944218513,0.42604436054619943,0.0033693047730004714,16
30000,6,0.14726215563702155,0.00021641624,0.024149072682636066,0.00013361771775962235,0.41343339062716622,0.0022765992233119581,16
30000,8,0.19634954084936207,0.00037066350999999999,0.02401964961150984,0.00013161281487290147,0.40045072078539168,0.0021955619851751025,16
30000,10,0.24543692606170259,0.00056150852000000004,0.02417367000065055,9.1161109897592454e-05,0.38567916552829234,0.0014478919685472786,16
30000,12,0.2945243112740431,0.00078719295000000003,0.024447561496530028,7.1795205896340043e-05,0.37124388141957498,0.0010858805569312182,16
30000,16,0.39269908169872414,0.0013372873,0.024559979940316098,5.5708987058218434e-05,0.35311057783386812,0.00080741020931022209,16
30000,20,0.49087385212340517,0.0020109385,0.024621240192009886,4.8480730297287355e-05,0.33898017864996965,0.00066695412739459963,16
30000,24,0.58904862254808621,0.0027999133999999999,0.024758611173810868,4.679260129709232e-05,0.32594132576898227,0.00061942579119579275,16
30000,28,0.68722339297276724,0.0036971133999999998,0.025100752607948355,4.3881229045490713e-05,0.31188898600949544,0.00054442372615794556,16
30000,32,0.78539816339744828,0.0046962310000000004,0.025351138899024211,2.9263584383554399e-05,0.30031768063783015,0.00034696397929720902,16
30000,36,0.88357293382212931,0.0057915420000000002,0.025479041085508219,3.2062644328112755e-05,0.29116330737285123,0.00036656195738755384,16
30000,40,0.98174770424681035,0.0069777689000000004,0.025771258184533768,1.8787317359891765e-05,0.28092126699279507,0.00020392199070579583,16
30000,48,1.1780972450961724,0.0096035544000000004,0.02634737010526764,1.8870857357865781e-05,0.26262483230963041,0.00018801038998638342,16
30000,64,1.5707963267948966,0.015745868999999999,0.027537538391659525,2.3278591320996511e-05,0.23174289187753722,0.00019601571678774725,16
