figure,L,n,k,S_k_L,k_digitized,pdf_x,pdf_top,cluster_count
Yokota et al. 2026 Fig. 3,128,105,7.2891048204160693e+00,2.3083658226020304e-01,7.2891790664544764e+00,255.075000,177.703000,1
Yokota et al. 2026 Fig. 3,128,106,7.3585248663247942e+00,2.2318617991835032e-01,7.3584882613012104e+00,256.643000,180.617000,1
Yokota et al. 2026 Fig. 3,128,107,7.4279449122335182e+00,2.2242481523779511e-01,7.4279963664647859e+00,258.215500,180.907000,1
Yokota et al. 2026 Fig. 3,128,108,7.4973649581422430e+00,2.1677496422898712e-01,7.4974381681894133e+00,259.786500,183.059000,1
Yokota et al. 2026 Fig. 3,128,109,7.5667850040509670e+00,2.1207025558224712e-01,7.5667915653287796e+00,261.355500,184.851000,1
Yokota et al. 2026 Fig. 3,128,110,7.6362050499596918e+00,2.1115136717468067e-01,7.6362333670534106e+00,262.926500,185.201000,1
Yokota et al. 2026 Fig. 3,128,111,7.7056250958684158e+00,2.1199674450964176e-01,7.7057193710706713e+00,264.498500,184.879000,1
Yokota et al. 2026 Fig. 3,128,112,7.7750451417771407e+00,2.0581918901534557e-01,7.7750727682100349e+00,266.067500,187.232000,1
Yokota et al. 2026 Fig. 3,128,113,7.8444651876858655e+00,1.9970201761640349e-01,7.8444703676420326e+00,267.637500,189.562000,1
Yokota et al. 2026 Fig. 3,128,114,7.9138852335945895e+00,1.9708449835256447e-01,7.9140005739519266e+00,269.210500,190.559000,1
Yokota et al. 2026 Fig. 3,128,115,7.9833052795033144e+00,1.9159217107076770e-01,7.9833097687986605e+00,270.778500,192.651000,1
Yokota et al. 2026 Fig. 3,128,116,8.0527253254120392e+00,1.8976752123288573e-01,8.0527073682306565e+00,272.348500,193.346000,1
Yokota et al. 2026 Fig. 3,128,117,8.1221453713207623e+00,1.8517570459050392e-01,8.1222375745405486e+00,273.921500,195.095000,1
Yokota et al. 2026 Fig. 3,128,118,8.1915654172294872e+00,1.7609446172829793e-01,8.1915909716799149e+00,275.490500,198.554000,1
Yokota et al. 2026 Fig. 3,128,119,8.2609854631382120e+00,1.7667204872733974e-01,8.2610327734045459e+00,277.061500,198.334000,1
Yokota et al. 2026 Fig. 3,128,120,8.3304055090469369e+00,1.7517294792528135e-01,8.3305187774218066e+00,278.633500,198.905000,1
Yokota et al. 2026 Fig. 3,128,121,8.3998255549556617e+00,1.7258430801139435e-01,8.3998279722685396e+00,280.201500,199.891000,1
Yokota et al. 2026 Fig. 3,128,122,8.4692456008643848e+00,1.7088042636422124e-01,8.4693139762858003e+00,281.773500,200.540000,1
Yokota et al. 2026 Fig. 3,128,123,8.5386656467731097e+00,1.7023195368802418e-01,8.5387557780104295e+00,283.344500,200.787000,1
Yokota et al. 2026 Fig. 3,128,124,8.6080856926818345e+00,1.6656952703500966e-01,8.6080649728571643e+00,284.912500,202.182000,1
Yokota et al. 2026 Fig. 3,128,125,8.6775057385905594e+00,1.5903726748841537e-01,8.6775730780207407e+00,286.485000,205.051000,1
Yokota et al. 2026 Fig. 3,128,126,8.7469257844992825e+00,1.6195145643812595e-01,8.7469927785990524e+00,288.055500,203.941000,1
Yokota et al. 2026 Fig. 3,128,127,8.8163458304080073e+00,1.5631998319746912e-01,8.8163461757384205e+00,289.624500,206.086000,1
Yokota et al. 2026 Fig. 3,128,128,8.8857658763167322e+00,1.5389411780149392e-01,8.8858100786093654e+00,291.196000,207.010000,2
