model,rho,kBT,a_uv_reference,eta0_reference,kmax_fit,n_points,B_fit,A_fit,equivalent_rho_kBT,eta0_if_auv1p75,auv_if_eta0_1p4,rmse_S,mae_S
S2_B_minus_A_log_k,7.5000000000000000e-01,1.0000000000000000e+00,1.7500000000000000e+00,1.3999999999999999e+00,1.0000000000000000e+00,14,3.0873959974236329e+00,1.2195112479006306e-01,3.0649660618997938e+00,1.7121654700227293e+00,6.0712412835871614e-04,1.2900100428692008e-02,1.0752872616070766e-02
S2_B_minus_A_log_k,7.5000000000000000e-01,1.0000000000000000e+00,1.7500000000000000e+00,1.3999999999999999e+00,2.0000000000000000e+00,28,2.9096111465057719e+00,2.6754502896255422e-01,6.7241399799458303e+00,1.6023790736697590e+00,1.8059945179043438e-01,3.4046719515635392e-02,2.9433833226585542e-02
S2_B_minus_A_log_k,7.5000000000000000e-01,1.0000000000000000e+00,1.7500000000000000e+00,1.3999999999999999e+00,3.0000000000000000e+00,43,2.8090427795549409e+00,3.9094086720619359e-01,9.8254156512240058e+00,1.5196441053194818e+00,7.1611372301977438e-01,4.7859695134401983e-02,4.1948349924850185e-02
S2_B_minus_A_log_k,7.5000000000000000e-01,1.0000000000000000e+00,1.7500000000000000e+00,1.3999999999999999e+00,3.6000000000000001e+00,51,2.7902874876402795e+00,4.2342864499988581e-01,1.0641922563608974e+01,1.4996783143528631e+00,8.8427208196060902e-01,4.7486239825154125e-02,4.0819344411343134e-02
