figure,L,n,k,S_k_L,k_digitized,pdf_x,pdf_top,cluster_count
Yokota 2026 Fig. A.4,64,13,1.8049211936268361e+00,1.6414315892226623e+00,1.8049170894531446e+00,242.186996,489.916662,1
Yokota 2026 Fig. A.4,64,14,1.9437612854442852e+00,1.6118877119128785e+00,1.9437963574740145e+00,245.583413,490.483908,1
Yokota 2026 Fig. A.4,64,15,2.0826013772617342e+00,1.5862636985517860e+00,2.0825801101798773e+00,248.977494,490.975893,1
Yokota 2026 Fig. A.4,64,16,2.2214414690791831e+00,1.5589771748000036e+00,2.2215071358582499e+00,252.375078,491.499798,1
Yokota 2026 Fig. A.4,64,17,2.3602815608966319e+00,1.5514119899029182e+00,2.3602431309066105e+00,255.767992,491.645051,1
Yokota 2026 Fig. A.4,64,18,2.4991216527140807e+00,1.5294180451013166e+00,2.4990746412699756e+00,259.163241,492.067338,1
Yokota 2026 Fig. A.4,64,19,2.6379617445315300e+00,1.5216850839262719e+00,2.6380016669483477e+00,262.560825,492.215812,1
Yokota 2026 Fig. A.4,64,20,2.7768018363489788e+00,1.4891517383910244e+00,2.7767376619967088e+00,265.953739,492.840456,1
Yokota 2026 Fig. A.4,64,21,2.9156419281664276e+00,1.4824711920504539e+00,2.9156646876750814e+00,269.351323,492.968724,1
Yokota 2026 Fig. A.4,64,22,3.0544820199838769e+00,1.4925377687280283e+00,3.0544484403809427e+00,272.745404,492.775444,1
Yokota 2026 Fig. A.4,64,23,3.1933221118013257e+00,1.4898075911139583e+00,3.1933277084018141e+00,276.141821,492.827864,1
Yokota 2026 Fig. A.4,64,24,3.3321622036187746e+00,1.4811137294378736e+00,3.3321472793508042e+00,279.536778,492.994787,1
Yokota 2026 Fig. A.4,64,25,3.4710022954362234e+00,1.5032144409618153e+00,3.4710623656148014e+00,282.934071,492.570450,1
Yokota 2026 Fig. A.4,64,26,3.6098423872536722e+00,1.4995691200134209e+00,3.6097983606631621e+00,286.326984,492.640441,1
Yokota 2026 Fig. A.4,64,27,3.7486824790711215e+00,1.5307907601028032e+00,3.7487253863415342e+00,289.724569,492.040981,1
Yokota 2026 Fig. A.4,64,28,3.8875225708885703e+00,1.5391948263896853e+00,3.8875091390473959e+00,293.118650,491.879622,1
Yokota 2026 Fig. A.4,64,29,4.0263626627060196e+00,1.5795831522112151e+00,4.0263884070682670e+00,296.515067,491.104160,1
Yokota 2026 Fig. A.4,64,30,4.1652027545234684e+00,1.6288636207646017e+00,4.1652199174316351e+00,299.910316,490.157969,1
Yokota 2026 Fig. A.4,64,31,4.3040428463409173e+00,1.7394434403288417e+00,4.3040991854525039e+00,303.306733,488.034821,1
Yokota 2026 Fig. A.4,64,32,4.4428829381583661e+00,1.8427478703852020e+00,4.4428829381583652e+00,306.700814,486.051361,1
Yokota 2026 Fig. A.4,64,33,4.5817230299758149e+00,2.0070160988964916e+00,4.5817144485217316e+00,310.096063,482.897388,1
Yokota 2026 Fig. A.4,64,34,4.7205631217932638e+00,2.2223950826298191e+00,4.7205937165426022e+00,313.492480,478.762082,1
Yokota 2026 Fig. A.4,64,35,4.8594032136107126e+00,2.5211283717312236e+00,4.8593774692484670e+00,316.886561,473.026361,1
Yokota 2026 Fig. A.4,64,36,4.9982433054281614e+00,2.9514745246974323e+00,4.9982806160980884e+00,320.283562,464.763654,1
Yokota 2026 Fig. A.4,64,37,5.1370833972456111e+00,3.5190311682567259e+00,5.1370166111464464e+00,323.676475,453.866487,1
Yokota 2026 Fig. A.4,64,38,5.2759234890630600e+00,4.1916157618186949e+00,5.2759436368248185e+00,327.074060,440.952769,1
Yokota 2026 Fig. A.4,64,39,5.4147635808805088e+00,5.1331609813387029e+00,5.4147273895306807e+00,330.468141,422.874969,1
Yokota 2026 Fig. A.4,64,40,5.5536036726979576e+00,6.1197922624631094e+00,5.5536066575515521e+00,333.864558,403.931511,1
Yokota 2026 Fig. A.4,64,41,5.6924437645154065e+00,6.8496495763648975e+00,5.6924381679149194e+00,337.259807,389.918148,1
Yokota 2026 Fig. A.4,64,42,5.8312838563328553e+00,7.1828227596147256e+00,5.8313651935932915e+00,340.657392,383.521176,1
Yokota 2026 Fig. A.4,64,43,5.9701239481503041e+00,6.5336353306336639e+00,5.9701011886416504e+00,344.050305,395.985666,1
Yokota 2026 Fig. A.4,64,44,6.1089640399677538e+00,5.3098751591968094e+00,6.1090282143200243e+00,347.447890,419.482032,1
Yokota 2026 Fig. A.4,64,45,6.2478041317852027e+00,3.9659871727409333e+00,6.2478119670258847e+00,350.841971,445.284870,1
Yokota 2026 Fig. A.4,64,46,6.3866442236026515e+00,2.7952595575281971e+00,6.3866912350467571e+00,354.238388,467.763004,1
Yokota 2026 Fig. A.4,64,47,6.5254843154201003e+00,1.9488587400001545e+00,6.5255108059957481e+00,357.633345,484.014018,1
Yokota 2026 Fig. A.4,64,48,6.6643244072375492e+00,1.4184874205922520e+00,6.6644258922597448e+00,361.030638,494.197221,1
Yokota 2026 Fig. A.4,64,49,6.8031644990549980e+00,1.0674994471009038e+00,6.8031618873081028e+00,364.423551,500.936239,1
Yokota 2026 Fig. A.4,64,50,6.9420045908724468e+00,8.7559388989300457e-01,6.9419933976714683e+00,367.818800,504.620853,1
Yokota 2026 Fig. A.4,64,51,7.0808446826898956e+00,7.5619818954143592e-01,7.0808726656923398e+00,371.215217,506.913267,1
Yokota 2026 Fig. A.4,64,52,7.2196847745073445e+00,6.7290489372897810e-01,7.2196564183982010e+00,374.609298,508.512510,1
Yokota 2026 Fig. A.4,64,53,7.3585248663247942e+00,6.2214494345176752e-01,7.3585834440765758e+00,378.006883,509.487108,1
Yokota 2026 Fig. A.4,64,54,7.4973649581422430e+00,5.9676496831316517e-01,7.4973194391249347e+00,381.399796,509.974407,1
Yokota 2026 Fig. A.4,64,55,7.6362050499596918e+00,5.7435920901111126e-01,7.6362464648033095e+00,384.797381,510.404601,1
Yokota 2026 Fig. A.4,64,56,7.7750451417771407e+00,5.6744987683695958e-01,7.7750779751666750e+00,388.192630,510.537261,1
Yokota 2026 Fig. A.4,64,57,7.9138852335945895e+00,5.6459768011164879e-01,7.9139572431875456e+00,391.589047,510.592024,1
Yokota 2026 Fig. A.4,64,58,8.0527253254120392e+00,5.5970166327300841e-01,8.0527409958934069e+00,394.983128,510.686028,1
Yokota 2026 Fig. A.4,64,59,8.1915654172294872e+00,5.6507050416771720e-01,8.1916441427430300e+00,398.380128,510.582945,1
Yokota 2026 Fig. A.4,64,60,8.3304055090469369e+00,5.7579293356821970e-01,8.3303801377913871e+00,401.773042,510.377073,1
Yokota 2026 Fig. A.4,64,61,8.4692456008643848e+00,5.6626019050233833e-01,8.4693071634697610e+00,405.170626,510.560103,1
Yokota 2026 Fig. A.4,64,62,8.6080856926818345e+00,5.8116177446292550e-01,8.6081386738331265e+00,408.565875,510.273991,1
Yokota 2026 Fig. A.4,64,63,8.7469257844992825e+00,5.9188420386343099e-01,8.7470179418539988e+00,411.962292,510.068118,1
Yokota 2026 Fig. A.4,64,64,8.8857658763167322e+00,6.0420813409900420e-01,8.8858016945598610e+00,415.356373,509.831497,1
Yokota 2026 Fig. A.4,128,0,0.0000000000000000e+00,1.8336421942086676e+00,-4.7757657504580787e-05,198.044963,486.226191,1
Yokota 2026 Fig. A.4,128,1,6.9420045908724470e-02,1.8373332723237776e+00,6.9451573424810828e-02,199.744631,486.155322,1
Yokota 2026 Fig. A.4,128,2,1.3884009181744894e-01,1.8127769261860625e+00,1.3878375270586310e-01,201.440212,486.626807,1
Yokota 2026 Fig. A.4,128,3,2.0826013772617341e-01,1.8082622190700623e+00,2.0818756847316933e-01,203.137544,486.713490,1
Yokota 2026 Fig. A.4,128,4,2.7768018363489788e-01,1.8048151791774396e+00,2.7765108131235661e-01,204.836337,486.779674,1
Yokota 2026 Fig. A.4,128,5,3.4710022954362235e-01,1.8124413736301439e+00,3.4711459415154267e-01,206.535129,486.633250,1
Yokota 2026 Fig. A.4,128,6,4.1652027545234682e-01,1.8001479481723832e+00,4.1643483401821851e-01,208.230418,486.869286,1
Yokota 2026 Fig. A.4,128,7,4.8594032136107129e-01,1.7881290657149191e+00,4.8589834685740579e-01,209.929210,487.100050,1
Yokota 2026 Fig. A.4,128,8,5.5536036726979576e-01,1.7708328566961806e+00,5.5536185969659313e-01,211.628003,487.432139,1
Yokota 2026 Fig. A.4,128,9,6.2478041317852018e-01,1.7918201438300263e+00,6.2477761487827566e-01,213.325627,487.029181,1
Yokota 2026 Fig. A.4,128,10,6.9420045908724470e-01,1.7567701541253897e+00,6.9414561240245498e-01,215.022084,487.702145,1
Yokota 2026 Fig. A.4,128,11,7.6362050499596923e-01,1.7467645870034401e+00,7.6360912524164104e-01,216.720876,487.894254,1
Yokota 2026 Fig. A.4,128,12,8.3304055090469364e-01,1.7578378213487673e+00,8.3302488042332612e-01,218.418501,487.681646,1
Yokota 2026 Fig. A.4,128,13,9.0246059681341806e-01,1.7579598404600110e+00,9.0253615092001549e-01,220.118461,487.679303,1
Yokota 2026 Fig. A.4,128,14,9.7188064272214258e-01,1.7290108063175422e+00,9.7185639078669150e-01,221.813750,488.235129,1
Yokota 2026 Fig. A.4,128,15,1.0413006886308671e+00,1.7318782554317591e+00,1.0412721459683740e+00,223.511374,488.180073,1
Yokota 2026 Fig. A.4,128,16,1.1107207345395915e+00,1.7261433572033222e+00,1.1107356588075614e+00,225.210167,488.290184,1
Yokota 2026 Fig. A.4,128,17,1.1801407804483159e+00,1.7068643376268817e+00,1.1801036563317404e+00,226.906623,488.660344,1
Yokota 2026 Fig. A.4,128,18,1.2495608263570404e+00,1.6923135586111164e+00,1.2495194115134243e+00,228.604248,488.939721,1
Yokota 2026 Fig. A.4,128,19,1.3189808722657650e+00,1.6696790134754873e+00,1.3189829243526103e+00,230.303040,489.374307,1
Yokota 2026 Fig. A.4,128,20,1.3884009181744894e+00,1.6709907189213522e+00,1.3884464371917966e+00,232.001833,489.349122,1
Yokota 2026 Fig. A.4,128,21,1.4578209640832138e+00,1.6705026424763776e+00,1.4577666770584725e+00,233.697121,489.358494,1
Yokota 2026 Fig. A.4,128,22,1.5272410099919385e+00,1.6596734463535376e+00,1.5271824322401550e+00,235.394746,489.566416,1
Yokota 2026 Fig. A.4,128,23,1.5966610559006629e+00,1.6396318073318257e+00,1.5966817633224717e+00,237.094414,489.951218,1
Yokota 2026 Fig. A.4,128,24,1.6660811018093873e+00,1.6454887246715033e+00,1.6660975185041544e+00,238.792039,489.838764,1
Yokota 2026 Fig. A.4,128,25,1.7355011477181117e+00,1.6345070046596042e+00,1.7354177583708301e+00,240.487327,490.049615,1
Yokota 2026 Fig. A.4,128,26,1.8049211936268361e+00,1.6165396905290286e+00,1.8049170894531446e+00,242.186996,490.394590,1
Yokota 2026 Fig. A.4,128,27,1.8743412395355608e+00,1.5926849542809629e+00,1.8743328446348271e+00,243.884620,490.852604,1
Yokota 2026 Fig. A.4,128,28,1.9437612854442852e+00,1.5857908744957174e+00,1.9437963574740145e+00,245.583413,490.984971,1
Yokota 2026 Fig. A.4,128,29,2.0131813313530098e+00,1.5720942292586577e+00,2.0131643549981937e+00,247.279869,491.247949,1
Yokota 2026 Fig. A.4,128,30,2.0826013772617342e+00,1.5741075445941719e+00,2.0825801101798773e+00,248.977494,491.209293,1
Yokota 2026 Fig. A.4,128,31,2.1520214231704586e+00,1.5648035873618689e+00,2.1520436230190634e+00,250.676286,491.387930,1
Yokota 2026 Fig. A.4,128,32,2.2214414690791831e+00,1.5617226048029769e+00,2.2215071358582499e+00,252.375078,491.447086,1
Yokota 2026 Fig. A.4,128,33,2.2908615149879075e+00,1.5531507622381386e+00,2.2908273757249256e+00,254.070367,491.611666,1
Yokota 2026 Fig. A.4,128,34,2.3602815608966319e+00,1.5270386724320686e+00,2.3602431309066105e+00,255.767992,492.113022,1
Yokota 2026 Fig. A.4,128,35,2.4297016068053563e+00,1.5181007725334992e+00,2.4297544014032999e+00,257.467952,492.284631,1
Yokota 2026 Fig. A.4,128,36,2.4991216527140807e+00,1.5269166533208249e+00,2.4990746412699756e+00,259.163241,492.115365,1
Yokota 2026 Fig. A.4,128,37,2.5685416986228056e+00,1.5072715764106563e+00,2.5684903964516583e+00,260.860865,492.492553,1
Yokota 2026 Fig. A.4,128,38,2.6379617445315300e+00,1.5030924218505717e+00,2.6380016669483477e+00,262.560825,492.572793,1
Yokota 2026 Fig. A.4,128,39,2.7073817904402544e+00,1.5060818900760322e+00,2.7074174221300331e+00,264.258450,492.515395,1
Yokota 2026 Fig. A.4,128,40,2.7768018363489788e+00,1.4921412066164852e+00,2.7767376619967088e+00,265.953739,492.783058,1
Yokota 2026 Fig. A.4,128,41,2.8462218822577032e+00,1.4794817238249933e+00,2.8462011748358949e+00,267.652531,493.026122,1
Yokota 2026 Fig. A.4,128,42,2.9156419281664276e+00,1.4832033067179158e+00,2.9156646876750814e+00,269.351323,492.954667,1
Yokota 2026 Fig. A.4,128,43,2.9850619740751521e+00,1.4793902094915621e+00,2.9850804428567659e+00,271.048948,493.027879,1
Yokota 2026 Fig. A.4,128,44,3.0544820199838769e+00,1.4647174113645560e+00,3.0544484403809427e+00,272.745404,493.309599,1
Yokota 2026 Fig. A.4,128,45,3.1239020658926013e+00,1.4627040960290418e+00,3.1239119532201314e+00,274.444197,493.348255,1
Yokota 2026 Fig. A.4,128,46,3.1933221118013257e+00,1.4707878621489114e+00,3.1933277084018141e+00,276.141821,493.193045,1
Yokota 2026 Fig. A.4,128,47,3.2627421577100502e+00,1.4673408222562856e+00,3.2628151000697527e+00,277.841198,493.259229,1
Yokota 2026 Fig. A.4,128,48,3.3321622036187746e+00,1.4645953922533124e+00,3.3321472793508042e+00,279.536778,493.311942,1
Yokota 2026 Fig. A.4,128,49,3.4015822495274990e+00,1.4540102343529568e+00,3.4015510951181116e+00,281.234111,493.515178,1
Yokota 2026 Fig. A.4,128,50,3.4710022954362234e+00,1.4592265513586067e+00,3.4710623656148014e+00,282.934071,493.415024,1
Yokota 2026 Fig. A.4,128,51,3.5404223413449478e+00,1.4732892539293974e+00,3.5403826054814793e+00,284.629360,493.145018,1
Yokota 2026 Fig. A.4,128,52,3.6098423872536722e+00,1.4807019149374299e+00,3.6097983606631621e+00,286.326984,493.002694,1
Yokota 2026 Fig. A.4,128,53,3.6792624331623971e+00,1.4794817238249933e+00,3.6792618735023481e+00,288.025777,493.026122,1
Yokota 2026 Fig. A.4,128,54,3.7486824790711215e+00,1.4962898563987574e+00,3.7487253863415342e+00,289.724569,492.703403,1
Yokota 2026 Fig. A.4,128,55,3.8181025249798459e+00,1.5166670479763908e+00,3.8180456262082099e+00,291.419858,492.312158,1
Yokota 2026 Fig. A.4,128,56,3.8875225708885703e+00,1.5352749624409943e+00,3.8875091390473959e+00,293.118650,491.954884,1
Yokota 2026 Fig. A.4,128,57,3.9569426167972948e+00,1.5461041585638371e+00,3.9569726518865842e+00,294.817443,491.746962,1
Yokota 2026 Fig. A.4,128,58,4.0263626627060196e+00,1.5688607228107099e+00,4.0263884070682670e+00,296.515067,491.310033,1
Yokota 2026 Fig. A.4,128,59,4.0957827086147436e+00,1.6022329497357506e+00,4.0957086469349431e+00,298.210356,490.669281,1
Yokota 2026 Fig. A.4,128,60,4.1652027545234684e+00,1.6510710990108810e+00,4.1652199174316351e+00,299.910316,489.731582,1
Yokota 2026 Fig. A.4,128,61,4.2346228004321924e+00,1.6690689179192690e+00,4.2346356726133152e+00,301.607941,489.386021,1
Yokota 2026 Fig. A.4,128,62,4.3040428463409173e+00,1.7106774348532354e+00,4.3040991854525039e+00,303.306733,488.587132,1
Yokota 2026 Fig. A.4,128,63,4.3734628922496412e+00,1.7801368139284837e+00,4.3734671829766834e+00,305.003190,487.253502,1
Yokota 2026 Fig. A.4,128,64,4.4428829381583661e+00,1.8393465876592920e+00,4.4428829381583652e+00,306.700814,486.116666,1
Yokota 2026 Fig. A.4,128,65,4.5123029840670910e+00,1.9139612741845711e+00,4.5123464509975548e+00,308.399607,484.684054,1
Yokota 2026 Fig. A.4,128,66,4.5817230299758149e+00,1.9922365340471448e+00,4.5817144485217316e+00,310.096063,483.181158,1
Yokota 2026 Fig. A.4,128,67,4.6511430758845398e+00,2.1137675688454713e+00,4.6511302037034161e+00,311.793688,480.847745,1
Yokota 2026 Fig. A.4,128,68,4.7205631217932638e+00,2.1923173717083451e+00,4.7205937165426022e+00,313.492480,479.339578,1
Yokota 2026 Fig. A.4,128,69,4.7899831677019886e+00,2.3656760240072625e+00,4.7900452899674129e+00,315.190981,476.011067,1
Yokota 2026 Fig. A.4,128,70,4.8594032136107126e+00,2.5191455611735187e+00,4.8593774692484670e+00,316.886561,473.064431,1
Yokota 2026 Fig. A.4,128,71,4.9288232595194374e+00,2.7082751836006320e+00,4.9287812850157717e+00,318.583894,469.433116,1
Yokota 2026 Fig. A.4,128,72,4.9982433054281614e+00,2.9353832544022209e+00,4.9982806160980884e+00,320.283562,465.072609,1
Yokota 2026 Fig. A.4,128,73,5.0676633513368863e+00,3.1983649439093420e+00,5.0676963712797685e+00,321.981187,460.023324,1
Yokota 2026 Fig. A.4,128,74,5.1370833972456111e+00,3.5122286028049148e+00,5.1370166111464464e+00,323.676475,453.997098,1
Yokota 2026 Fig. A.4,128,75,5.2065034431543351e+00,3.8160866945785377e+00,5.2065278816431357e+00,325.376436,448.162980,1
Yokota 2026 Fig. A.4,128,76,5.2759234890630600e+00,4.1930037292090878e+00,5.2759436368248185e+00,327.074060,440.926120,1
Yokota 2026 Fig. A.4,128,77,5.3453435349717839e+00,4.6311438529059634e+00,5.3454071496640063e+00,328.772852,432.513768,1
Yokota 2026 Fig. A.4,128,78,5.4147635808805088e+00,5.1069573771992047e+00,5.4147273895306807e+00,330.468141,423.378082,1
