figure,L,n,k,S_k_L,k_digitized,pdf_x,pdf_top,cluster_count
Yokota 2026 Fig. A.4,128,106,7.3585248663247942e+00,6.0426914365462303e-01,7.3585834440765758e+00,378.006883,509.830326,1
Yokota 2026 Fig. A.4,128,107,7.4279449122335182e+00,5.9057249841756321e-01,7.4279991992582586e+00,379.704507,510.093303,1
Yokota 2026 Fig. A.4,128,108,7.4973649581422430e+00,5.7519809040091063e-01,7.4973194391249347e+00,381.399796,510.388494,1
Yokota 2026 Fig. A.4,128,109,7.5667850040509670e+00,5.6696180039198496e-01,7.5668307096216241e+00,383.099756,510.546632,1
Yokota 2026 Fig. A.4,128,110,7.6362050499596918e+00,5.5457686060079292e-01,7.6362464648033095e+00,384.797381,510.784425,1
Yokota 2026 Fig. A.4,128,111,7.7056250958684158e+00,5.5838995782714662e-01,7.7057099776424947e+00,386.496173,510.711213,1
Yokota 2026 Fig. A.4,128,112,7.7750451417771407e+00,5.5613260426914501e-01,7.7750779751666750e+00,388.192630,510.754554,1
Yokota 2026 Fig. A.4,128,113,7.8444651876858655e+00,5.5732229060376615e-01,7.8444937303483568e+00,389.890254,510.731712,1
Yokota 2026 Fig. A.4,128,114,7.9138852335945895e+00,5.5137385893065738e-01,7.9139572431875456e+00,391.589047,510.845923,1
Yokota 2026 Fig. A.4,128,115,7.9833052795033144e+00,5.4457129347884314e-01,7.9832774830542190e+00,393.284335,510.976533,1
Yokota 2026 Fig. A.4,128,116,8.0527253254120392e+00,5.5231950704279131e-01,8.0527409958934069e+00,394.983128,510.827766,1
Yokota 2026 Fig. A.4,128,117,8.1221453713207623e+00,5.5018417259603336e-01,8.1221448116607142e+00,396.680460,510.868765,1
Yokota 2026 Fig. A.4,128,118,8.1915654172294872e+00,5.5170941148657593e-01,8.1916441427430300e+00,398.380128,510.839480,1
Yokota 2026 Fig. A.4,128,119,8.2609854631382120e+00,5.5457686060079292e-01,8.2609763220240797e+00,400.075709,510.784425,1
Yokota 2026 Fig. A.4,128,120,8.3304055090469369e+00,5.5826793871590297e-01,8.3303801377913871e+00,401.773042,510.713555,1
Yokota 2026 Fig. A.4,128,121,8.3998255549556617e+00,5.5375323159989975e-01,8.3998914082880773e+00,403.473002,510.800238,1
Yokota 2026 Fig. A.4,128,122,8.4692456008643848e+00,5.6113538783011985e-01,8.4693071634697610e+00,405.170626,510.658500,1
Yokota 2026 Fig. A.4,128,123,8.5386656467731097e+00,5.6400283694433673e-01,8.5386274033364380e+00,406.865915,510.603445,1
Yokota 2026 Fig. A.4,128,124,8.6080856926818345e+00,5.5720027149252249e-01,8.6081386738331265e+00,408.565875,510.734055,1
Yokota 2026 Fig. A.4,128,125,8.6775057385905594e+00,5.7019530683993569e-01,8.6775544290148101e+00,410.263500,510.484548,1
Yokota 2026 Fig. A.4,128,126,8.7469257844992825e+00,5.6876158228282725e-01,8.7470179418539988e+00,411.962292,510.512076,1
Yokota 2026 Fig. A.4,128,127,8.8163458304080073e+00,5.7888916851602068e-01,8.8163381817206723e+00,413.657581,510.317625,1
Yokota 2026 Fig. A.4,128,128,8.8857658763167322e+00,5.8175661763023756e-01,8.8858016945598610e+00,415.356373,510.262570,1
