rho,kBT,a_uv,kmax_fit,n_points,eta0_fit,rmse_S,mae_S
7.5000000000000000e-01,1.0000000000000000e+00,1.0000000000000000e+00,5.0000000000000000e-01,7,2.6934278972372794e-01,8.3222018884798916e-03,6.1277809395964044e-03
7.5000000000000000e-01,1.0000000000000000e+00,1.0000000000000000e+00,7.5000000000000000e-01,10,2.6372213649865439e-01,8.7307625369574295e-03,6.5955795785308082e-03
7.5000000000000000e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,14,2.5656284768388216e-01,1.0326413358886731e-02,7.9386432896395975e-03
7.5000000000000000e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.2500000000000000e+00,18,2.5210721842648176e-01,1.0646862557880799e-02,8.2839372076989361e-03
7.5000000000000000e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00,21,2.4862527305466053e-01,1.1213069526035870e-02,9.1007507931543524e-03
7.5000000000000000e-01,1.0000000000000000e+00,1.0000000000000000e+00,2.0000000000000000e+00,28,2.4254922640624732e-01,1.2005816337680943e-02,9.7298700647702862e-03
7.5000000000000000e-01,1.0000000000000000e+00,1.0000000000000000e+00,3.1415926535897931e+00,45,2.3698315309134155e-01,1.0659210729766862e-02,7.9963176629383476e-03
