mode_index,kx,ky,k_abs,tau_min,tau_max,S_last,S_tail_mean,S_tail_sem,S_tail_std,tail_points,sample_count_min
0,2.4543692606170259e-02,2.4543692606170259e-02,3.4710022954362235e-02,1.0000000000000000e+02,5.0000000000000000e+03,4.6767634114560963e-01,4.6878717166140876e-01,1.9784852362050675e-03,5.9738258589660481e-04,10,1152
1,4.9087385212340517e-02,4.9087385212340517e-02,6.9420045908724470e-02,1.0000000000000000e+02,5.0000000000000000e+03,4.5840471448520742e-01,4.5934402190228896e-01,1.9232973839426605e-03,1.0268938462698735e-03,10,1152
2,7.3631077818510776e-02,7.3631077818510776e-02,1.0413006886308671e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.5115427266394764e-01,4.4963758580194335e-01,1.9080851676774140e-03,1.4690646332272818e-03,10,1152
3,9.8174770424681035e-02,9.8174770424681035e-02,1.3884009181744894e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.4229555487739741e-01,4.4363318125124573e-01,1.7754536962785437e-03,1.9218418989169540e-03,10,1152
4,1.2271846303085129e-01,1.2271846303085129e-01,1.7355011477181118e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.4181119739691799e-01,4.4060721440596512e-01,1.8749666325853401e-03,1.2825519543922354e-03,10,1152
5,1.4726215563702155e-01,1.4726215563702155e-01,2.0826013772617341e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.4098591750393462e-01,4.3988701839314481e-01,1.8165202161941872e-03,8.8680690848093097e-04,10,1152
6,1.7180584824319181e-01,1.7180584824319181e-01,2.4297016068053565e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.2668569042844051e-01,4.2454167538950721e-01,1.6959430340716068e-03,1.4584136232533768e-03,10,1152
7,1.9634954084936207e-01,1.9634954084936207e-01,2.7768018363489788e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.1548581417209335e-01,4.1553096377972204e-01,1.7783734303697435e-03,1.7869860879378714e-03,10,1152
8,2.2089323345553233e-01,2.2089323345553233e-01,3.1239020658926009e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.1052948060660693e-01,4.1027117067769031e-01,1.7262370843086727e-03,7.1383129875004201e-04,10,1152
9,2.4543692606170259e-01,2.4543692606170259e-01,3.4710022954362235e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.0972356267098298e-01,4.0928830060167104e-01,1.7420024790807491e-03,8.1300795685751806e-04,10,1152
10,2.6998061866787282e-01,2.6998061866787282e-01,3.8181025249798456e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.0916160056596262e-01,4.0826928352355746e-01,1.7286070302981709e-03,1.7724632587821471e-03,10,1152
11,2.9452431127404310e-01,2.9452431127404310e-01,4.1652027545234682e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.0600594115873595e-01,4.0595255052092849e-01,1.7009719338063451e-03,1.3556038019636042e-03,10,1152
