window,t_start,t_end,n_replica,E_K_mean,E_K_sem,psi2_mean,psi2_sem,dissipation_mean,dissipation_sem,production_mean,production_sem,length_mean,length_sem
segment_001_all,16384.0,399998977.0,8,1.3052359712562060e+05,2.6435905747147772e+00,1.5789120998289997e+06,5.8517304781771971e+04,9.7576260807793868e-09,6.4778107534829620e-11,9.7683737402604357e-09,6.5211056874926591e-11,2.9930575284467488e+02,4.2700329970517918e+00
segment_002_all,400015360.0,799997953.0,8,1.3055626676522815e+05,1.5572193651168582e+00,2.6243371227940614e+06,1.8764163146212246e+05,1.0604765130191001e-08,1.5203481252284518e-10,1.0605937354809494e-08,1.5322561024052867e-10,3.7829289516185906e+02,1.1389738134209241e+01
segment_003_all,800014336.0,1199996929.0,8,1.3056190305560589e+05,1.6095089278307924e+00,3.6289485268512703e+06,2.9741183441640728e+05,1.0905732524386132e-08,1.2080501471478520e-10,1.0912628021205335e-08,1.2226120250453761e-10,4.3562780931618886e+02,1.5690209630203633e+01
segment_004_all,1200013312.0,1599995905.0,8,1.3055698403388826e+05,2.3883486875461521e+00,4.6902926364184497e+06,7.4443707172297628e+05,1.1230902369625533e-08,3.0300739527792648e-10,1.1234779526207975e-08,3.0427040213574524e-10,4.7941369938306423e+02,3.2693863077425021e+01
segment_004_first_half,1200013312.0,1400004608.5,8,1.3055622672532854e+05,2.1191225620950860e+00,4.3624390355074778e+06,6.3273460998514970e+05,1.1183551188881973e-08,2.6572464970326904e-10,1.1183900368953196e-08,2.6778034636607634e-10,4.6574205250030502e+02,3.1293746195825427e+01
segment_004_last_half,1400004608.5,1599995905.0,8,1.3055774134244797e+05,4.8540506637214786e+00,5.0181462373294216e+06,9.1025372839681199e+05,1.1278253550369092e-08,3.6428558381492059e-10,1.1285658683462755e-08,3.6406184819042449e-10,4.9308534626582355e+02,3.5985158943441611e+01
segment_004_q3,1400004608.5,1500000256.75,8,1.3056409527290647e+05,5.4719760998748814e+00,4.8304755778876040e+06,8.9607729252407665e+05,1.1188105563682210e-08,3.3620988479717400e-10,1.1208989503330341e-08,3.4054046326879250e-10,4.8485776393781362e+02,3.8836007393364596e+01
segment_004_q4,1500000256.75,1599995905.0,8,1.3055138845293484e+05,6.2400298948459518e+00,5.2057861512503596e+06,9.5252867927678337e+05,1.1368386768381877e-08,4.0977619452473171e-10,1.1362315303113497e-08,4.0552772458912501e-10,5.0131158069371406e+02,3.4569135726289609e+01
