nk,k,amplitude,time,u_mean,u_sem,n_samples
1,0.024543692606170259,1.033147199e-05,100.00000000001425,0.00020693192943350421,0.00016441118874281982,32
1,0.024543692606170259,1.033147199e-05,199.99999999996308,0.00072503905588612474,0.00034070211796936661,32
1,0.024543692606170259,1.033147199e-05,299.99999999987216,0.0017428954013327127,0.00040720669225696602,32
1,0.024543692606170259,1.033147199e-05,399.99999999978121,0.0023616755603149677,0.00046866531277292654,32
1,0.024543692606170259,1.033147199e-05,499.99999999969026,0.0032744660842637442,0.00054333017458184233,32
1,0.024543692606170259,1.033147199e-05,599.99999999959937,0.0042204538641571164,0.0006301057076830266,32
1,0.024543692606170259,1.033147199e-05,699.99999999950842,0.0052698456920481215,0.00059261587977362635,32
1,0.024543692606170259,1.033147199e-05,799.99999999941747,0.0059504933800426955,0.00064300765832586248,32
1,0.024543692606170259,1.033147199e-05,899.99999999932652,0.0066661364982809647,0.00067096743071315239,32
1,0.024543692606170259,1.033147199e-05,999.99999999923557,0.007139993469909651,0.0007391242357322283,32
1,0.024543692606170259,1.033147199e-05,1099.9999999991446,0.0078989380627846467,0.00076769555058038509,32
1,0.024543692606170259,1.033147199e-05,1199.9999999990537,0.0087063932015460938,0.00077793373424215305,32
1,0.024543692606170259,1.033147199e-05,1299.9999999989627,0.0097217421993995665,0.00080414241508544994,32
1,0.024543692606170259,1.033147199e-05,1399.9999999988718,0.010862316812659444,0.00081720247659165519,32
1,0.024543692606170259,1.033147199e-05,1499.9999999987808,0.011309874484107153,0.0008608094572137311,32
1,0.024543692606170259,1.033147199e-05,1599.9999999986899,0.011702214486289032,0.00092331525985346195,32
1,0.024543692606170259,1.033147199e-05,1699.9999999985989,0.012642552131148812,0.00094172161421760209,32
1,0.024543692606170259,1.033147199e-05,1799.999999998508,0.013159825235822167,0.0010419372963114421,32
1,0.024543692606170259,1.033147199e-05,1899.999999998417,0.01373674549420343,0.0011332469574014306,32
1,0.024543692606170259,1.033147199e-05,1999.9999999983261,0.014376240814047654,0.0011022975983932064,32
1,0.024543692606170259,1.033147199e-05,2099.9999999994175,0.015038380193115779,0.0010987816674585945,32
1,0.024543692606170259,1.033147199e-05,2200.0000000016003,0.015679192985071044,0.0011485938011533614,32
1,0.024543692606170259,1.033147199e-05,2300.000000003783,0.015927479927206067,0.0011160304789551731,32
1,0.024543692606170259,1.033147199e-05,2400.0000000059658,0.016334597090794125,0.0011177066113621866,32
1,0.024543692606170259,1.033147199e-05,2500.0000000081486,0.016541583839144499,0.0011124044071359168,32
1,0.024543692606170259,1.033147199e-05,2600.0000000103314,0.016516600022924145,0.0011234054611650517,32
1,0.024543692606170259,1.033147199e-05,2700.0000000125142,0.016968345890159404,0.001130449050065945,32
1,0.024543692606170259,1.033147199e-05,2800.000000014697,0.017465944042411627,0.0011342563856144327,32
1,0.024543692606170259,1.033147199e-05,2900.0000000168798,0.017882329020157493,0.0011096804465843269,32
1,0.024543692606170259,1.033147199e-05,3000.0000000190626,0.01812076902763959,0.0011226284626359455,32
1,0.024543692606170259,1.033147199e-05,3100.0000000212453,0.018479422346838425,0.0010778676825040163,32
1,0.024543692606170259,1.033147199e-05,3200.0000000234281,0.018852538312206808,0.0010448702592341927,32
1,0.024543692606170259,1.033147199e-05,3300.0000000256109,0.019328310668892505,0.001038588392945648,32
1,0.024543692606170259,1.033147199e-05,3400.0000000277937,0.019695913382281695,0.0010581831278790525,32
1,0.024543692606170259,1.033147199e-05,3500.0000000299765,0.020232324700476458,0.0010894943384039623,32
