steady_start,nk,k,amplitude,psi_steady_mean,psi_steady_sem,d_eff_mean,d_eff_sem,d_eq18_continuum,d_eq18_square,d_s54_square,d_s46_square,s46_iterations,s46_error,n_samples
10000000,1,0.0015339807878856412,2.823716469122703e-08,0.016897470163938517,6.2071135779719224e-05,0.71085297650163748,0.0026383730648555054,0.63286041136030957,0.66506961308268253,0.64686424713409774,0.77239426200130845,26,7.4899233962019621e-09,72
10000000,2,0.0030679615757712823,1.1294865876490812e-07,0.018077397870002662,2.9672179112724344e-05,0.6639401081104882,0.0010964867103455361,0.58766776347607963,0.60524928956108293,0.61823096974609837,0.73157212130408955,26,7.4899233962019621e-09,72
10000000,3,0.0046019423636569235,2.5413448222104327e-07,0.01920814351940656,2.0326071240193044e-05,0.62478475256549004,0.00066194062792525299,0.5595422344431431,0.57189574561522127,0.59419043600626686,0.69782851493388676,26,7.4899233962019621e-09,72
10000000,4,0.0061359231515425647,4.5179463505963247e-07,0.020088750889302027,1.4398375544690772e-05,0.597371059480995,0.00042885904692819334,0.53869703933733903,0.55091717493512826,0.57533645491692864,0.67156410796399579,26,7.4899233962019621e-09,72
10000000,5,0.0076699039394282058,7.0592911728067574e-07,0.020924643688290574,1.094808340582886e-05,0.57349764267756109,0.00030081971029997766,0.52195526684328641,0.5352596010518117,0.56000297143214395,0.65030235131365233,26,7.4899233962019621e-09,72
10000000,6,0.009203884727313847,1.0165379288841731e-06,0.021656819329769528,8.5537763363404783e-06,0.55410413740573106,0.00021931712740057695,0.50786672669851329,0.51814051054887922,0.54706060681490021,0.63242027194106243,26,7.4899233962019621e-09,72
10000000,8,0.012271846303085129,1.8071785402385299e-06,0.023006849276133428,6.6230320117967718e-06,0.52158687169697215,0.00015001412844502522,0.48480470310492202,0.49570800876634463,0.52588704705224565,0.60329217559266579,26,7.4899233962019621e-09,72
10000000,10,0.015339807878856412,2.823716469122703e-06,0.024213539227091681,4.7490104449499881e-06,0.49559185401270572,9.7271151018202471e-05,0.46613131255825691,0.47700015665484063,0.50880474555988875,0.57991398276561934,26,7.4899233962019621e-09,72
10000000,12,0.018407769454627694,4.0661517155366924e-06,0.025339988614490213,3.9133519370857419e-06,0.47356060511109521,7.3212179354346306e-05,0.45029958033435868,0.46173685392696645,0.49439162838555029,0.56028196925174112,26,7.4899233962019621e-09,72
10000000,16,0.024543692606170259,7.2287141609541196e-06,0.027419161917490373,3.2633250273006751e-06,0.43765057841967653,5.2107005101871902e-05,0.42411873351042711,0.43531665020992416,0.47074115589710497,0.52827756504628032,26,7.4899233962019621e-09,72
10000000,20,0.030679615757712823,1.1294865876490812e-05,0.029365567440369531,2.0571818103364346e-06,0.4086419990684001,2.8636276565356562e-05,0.40264065928457904,0.41419457141382576,0.45155033780507292,0.50252769028315114,26,7.4899233962019621e-09,72
10000000,24,0.036815538909255388,1.6264606862146769e-05,0.031245727395570116,1.4451678323248951e-06,0.38405256727389808,1.7763024958770767e-05,0.38420152525873275,0.39639681303513435,0.43525716815455628,0.4808428456544715,26,7.4899233962019621e-09,72
10000000,28,0.042951462060797953,2.2137937117921994e-05,0.033106110718161955,1.428073316263039e-06,0.3624708951072006,1.5637442306907886e-05,0.36789113970493298,0.3803113014713656,0.42100667194575314,0.46202481678331736,26,7.4899233962019621e-09,72
10000000,32,0.049087385212340517,2.8914856643816478e-05,0.03497427619739072,1.3457085082491944e-06,0.34310935253747132,1.3203720998853247e-05,0.35315407413241856,0.36596887577046067,0.408277551532363,0.44534266955710028,26,7.4899233962019621e-09,72
10000000,40,0.061359231515425647,4.5179463505963248e-05,0.038862337889086392,1.1160017415021032e-06,0.30878226464209141,8.8681556069075087e-06,0.32704831519357741,0.34078477540712931,0.38611740755921675,0.41660851914338881,26,7.4899233962019621e-09,72
10000000,48,0.073631077818510776,6.5058427448587078e-05,0.043178856652929393,1.0903896406594495e-06,0.27791380952422984,7.0179883859524285e-06,0.30405906000804145,0.31887145115732918,0.36707130713967595,0.39224154069744943,26,7.4899233962019621e-09,72
