steady_start,nk,k,amplitude,psi_steady_mean,psi_steady_sem,d_eff_mean,d_eff_sem,d_eq18_continuum,d_eq18_square,n_samples
10000000,1,0.0015339807878856412,2.823716469122703e-08,0.016897470163938517,6.2071135779719224e-05,0.71085297650163748,0.0026383730648555054,0.58766776347607963,0.62246984265109317,72
10000000,2,0.0030679615757712823,1.1294865876490812e-07,0.018077397870002662,2.9672179112724344e-05,0.6639401081104882,0.0010964867103455361,0.53869703933733903,0.55810197749006707,72
10000000,3,0.0046019423636569235,2.5413448222104327e-07,0.01920814351940656,2.0326071240193044e-05,0.62478475256549004,0.00066194062792525299,0.50786672669851329,0.52174309637686389,72
10000000,4,0.0061359231515425647,4.5179463505963247e-07,0.020088750889302027,1.4398375544690772e-05,0.597371059480995,0.00042885904692819334,0.48480470310492202,0.49865905025641555,72
10000000,5,0.0076699039394282058,7.0592911728067574e-07,0.020924643688290574,1.094808340582886e-05,0.57349764267756109,0.00030081971029997766,0.46613131255825691,0.48130443098134085,72
10000000,6,0.009203884727313847,1.0165379288841731e-06,0.021656819329769528,8.5537763363404783e-06,0.55410413740573106,0.00021931712740057695,0.45029958033435868,0.4621911979213591,72
10000000,8,0.012271846303085129,1.8071785402385299e-06,0.023006849276133428,6.6230320117967718e-06,0.52158687169697215,0.00015001412844502522,0.42411873351042711,0.43689534755959808,72
10000000,10,0.015339807878856412,2.823716469122703e-06,0.024213539227091681,4.7490104449499881e-06,0.49559185401270572,9.7271151018202471e-05,0.40264065928457904,0.41554814909089682,72
10000000,12,0.018407769454627694,4.0661517155366924e-06,0.025339988614490213,3.9133519370857419e-06,0.47356060511109521,7.3212179354346306e-05,0.38420152525873275,0.39793471454310242,72
10000000,16,0.024543692606170259,7.2287141609541196e-06,0.027419161917490373,3.2633250273006751e-06,0.43765057841967653,5.2107005101871902e-05,0.35315407413241856,0.36694918001559435,72
10000000,20,0.030679615757712823,1.1294865876490812e-05,0.029365567440369531,2.0571818103364346e-06,0.4086419990684001,2.8636276565356562e-05,0.32704831519357741,0.34162590322282432,72
10000000,24,0.036815538909255388,1.6264606862146769e-05,0.031245727395570116,1.4451678323248951e-06,0.38405256727389808,1.7763024958770767e-05,0.30405906000804145,0.31981486542770166,72
10000000,28,0.042951462060797953,2.2137937117921994e-05,0.033106110718161955,1.428073316263039e-06,0.3624708951072006,1.5637442306907886e-05,0.28316954397539229,0.29964612594020235,72
10000000,32,0.049087385212340517,2.8914856643816478e-05,0.03497427619739072,1.3457085082491944e-06,0.34310935253747132,1.3203720998853247e-05,0.26374021316091123,0.2812193677484226,72
10000000,40,0.061359231515425647,4.5179463505963248e-05,0.038862337889086392,1.1160017415021032e-06,0.30878226464209141,8.8681556069075087e-06,0.22759986914054819,0.2475588372759398,72
10000000,48,0.073631077818510776,6.5058427448587078e-05,0.043178856652929393,1.0903896406594495e-06,0.27791380952422984,7.0179883859524285e-06,0.19311398689585083,0.21640267356783893,72
