case,D0,length_mean,length_sem
relax_D0_0p004_grid512_L16384_dt16,4.0000000000000001e-03,8.1954506648260718e+01,7.1735632578908435e+00
relax_D0_0p12_grid512_L16384_dt4,1.2000000000000000e-01,3.0738400727884732e+02,2.7968922660365276e+01
relax_D0_4p00_grid512_L16384_dt4,4.0000000000000000e+00,1.0392989741461979e+03,3.7714726975440911e+01
