mode_index,kx,ky,k_abs,tau_min,tau_max,S_last,S_tail_mean,S_tail_sem,S_tail_std,tail_points,sample_count_min
0,2.4543692606170259e-02,2.4543692606170259e-02,3.4710022954362235e-02,1.0000000000000000e+02,5.0000000000000000e+03,4.6321113089558341e-01,4.6174098563216875e-01,1.8661743095900146e-03,1.4344796048992956e-03,10,1152
1,4.9087385212340517e-02,4.9087385212340517e-02,6.9420045908724470e-02,1.0000000000000000e+02,5.0000000000000000e+03,4.3512235910171476e-01,4.3569660127858451e-01,1.8501530316172277e-03,1.7354656764778616e-03,10,1152
2,7.3631077818510776e-02,7.3631077818510776e-02,1.0413006886308671e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.3505885394777644e-01,4.3394674234001213e-01,1.8147054287848169e-03,1.7275064748654082e-03,10,1152
3,9.8174770424681035e-02,9.8174770424681035e-02,1.3884009181744894e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.2832412920591845e-01,4.2883456228799188e-01,1.7792546327693574e-03,6.1292531102078416e-04,10,1152
4,1.2271846303085129e-01,1.2271846303085129e-01,1.7355011477181118e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.2684219273752810e-01,4.2639845554610439e-01,1.7983493123999207e-03,8.4499519079129256e-04,10,1152
5,1.4726215563702155e-01,1.4726215563702155e-01,2.0826013772617341e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.0879533414912178e-01,4.0819439507292454e-01,1.6898253758871641e-03,9.3481343685949524e-04,10,1152
6,1.7180584824319181e-01,1.7180584824319181e-01,2.4297016068053565e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.1696525824941189e-01,4.1795225404734537e-01,1.6219819636099659e-03,1.0402645890723473e-03,10,1152
7,1.9634954084936207e-01,1.9634954084936207e-01,2.7768018363489788e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.0794918484613252e-01,4.0600991884611287e-01,1.6823553715283473e-03,1.0257865367994700e-03,10,1152
8,2.2089323345553233e-01,2.2089323345553233e-01,3.1239020658926009e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.0597798466763035e-01,4.0846547969673341e-01,1.7252297474867038e-03,1.7227372445124762e-03,10,1152
9,2.4543692606170259e-01,2.4543692606170259e-01,3.4710022954362235e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.9818130521105294e-01,3.9993942845032460e-01,1.7152412476863356e-03,1.1003193522038050e-03,10,1152
10,2.6998061866787282e-01,2.6998061866787282e-01,3.8181025249798456e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.9399119989410392e-01,3.9513372899370725e-01,1.5870361624292055e-03,9.6447148904143674e-04,10,1152
11,2.9452431127404310e-01,2.9452431127404310e-01,4.1652027545234682e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.9968587129993682e-01,3.9737922762327332e-01,1.6700888315477960e-03,1.6128230691242185e-03,10,1152
12,3.1906800388021339e-01,3.1906800388021339e-01,4.5123029840670908e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.8895233315573541e-01,3.9097935615840312e-01,1.6297954173152989e-03,1.5521663657645664e-03,10,1152
13,3.4361169648638362e-01,3.4361169648638362e-01,4.8594032136107129e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.8617368113441675e-01,3.8728099678910399e-01,1.6263479033012686e-03,9.8688438880920721e-04,10,1152
14,3.6815538909255385e-01,3.6815538909255385e-01,5.2065034431543344e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.8335250093987994e-01,3.8239734980638601e-01,1.5506584716839813e-03,9.8287847915200818e-04,10,1152
15,3.9269908169872414e-01,3.9269908169872414e-01,5.5536036726979576e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.8069816079691754e-01,3.8175530865587953e-01,1.5631443271038228e-03,7.8294056964516164e-04,10,1152
16,4.1724277430489443e-01,4.1724277430489443e-01,5.9007039022415808e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.7920741787703799e-01,3.7831039995872606e-01,1.5544475109813155e-03,6.6966754310049999e-04,10,1152
17,4.4178646691106466e-01,4.4178646691106466e-01,6.2478041317852018e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.7969335473763571e-01,3.7932876697775592e-01,1.5143676018545189e-03,7.9771093399927785e-04,10,1152
18,4.6633015951723489e-01,4.6633015951723489e-01,6.5949043613288238e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.7550746660519824e-01,3.7556577613409581e-01,1.5522022659117632e-03,6.6579883084697076e-04,10,1152
19,4.9087385212340517e-01,4.9087385212340517e-01,6.9420045908724470e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.7218388964083715e-01,3.7175318295487231e-01,1.5324500964431439e-03,9.4609472685814005e-04,10,1152
20,5.1541754472957546e-01,5.1541754472957546e-01,7.2891048204160702e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.6512211791645471e-01,3.6767480934762165e-01,1.5167489653840093e-03,1.2681811400415118e-03,10,1152
21,5.3996123733574564e-01,5.3996123733574564e-01,7.6362050499596912e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.7253033708875294e-01,3.7441378627488964e-01,1.5779550420068982e-03,9.4346866409209223e-04,10,1152
22,5.6450492994191592e-01,5.6450492994191592e-01,7.9833052795033133e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.6253685694635346e-01,3.6169921677159883e-01,1.4745322768392308e-03,1.1818466888275573e-03,10,1152
23,5.8904862254808621e-01,5.8904862254808621e-01,8.3304055090469364e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.6310921679517572e-01,3.6250434241741453e-01,1.4745718766475820e-03,1.8331182518906764e-03,10,1152
24,6.1359231515425650e-01,6.1359231515425650e-01,8.6775057385905596e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.6736544835085883e-01,3.6648587679302247e-01,1.4452209832890009e-03,9.7506614160081930e-04,10,1152
25,6.3813600776042678e-01,6.3813600776042678e-01,9.0246059681341817e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.6584354899628241e-01,3.6317782195765574e-01,1.5490662536594819e-03,2.6828361841676296e-03,10,1152
26,6.6267970036659696e-01,6.6267970036659696e-01,9.3717061976778027e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.6529885597397271e-01,3.6366988578920939e-01,1.5471282549100666e-03,1.5706690152283169e-03,10,1152
27,6.8722339297276724e-01,6.8722339297276724e-01,9.7188064272214258e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.6183433630279604e-01,3.6007579206851881e-01,1.5328570021572144e-03,1.2260535288751355e-03,10,1152
28,7.1176708557893753e-01,7.1176708557893753e-01,1.0065906656765049e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.5666400456559988e-01,3.5543901058251215e-01,1.5048640014181391e-03,8.1415384068755491e-04,10,1152
29,7.3631077818510771e-01,7.3631077818510771e-01,1.0413006886308669e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.4754888209443063e-01,3.4571994198837924e-01,1.4515059561219731e-03,1.5082712697032873e-03,10,1152
30,7.6085447079127799e-01,7.6085447079127799e-01,1.0760107115852293e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.3559024964435397e-01,3.3927946190373992e-01,1.4316618368156522e-03,2.8347913811297785e-03,10,1152
31,7.8539816339744828e-01,7.8539816339744828e-01,1.1107207345395915e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.5504842148063437e-01,3.5601494532761757e-01,1.4823074553946399e-03,1.6164309187949525e-03,10,1152
32,8.0994185600361857e-01,8.0994185600361857e-01,1.1454307574939537e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.5477452920533020e-01,3.5560152803701722e-01,1.4938662186163181e-03,7.3917653586047332e-04,10,1152
33,8.3448554860978885e-01,8.3448554860978885e-01,1.1801407804483162e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.4939913583361482e-01,3.4795613085175775e-01,1.4086544933865034e-03,1.2465851593580575e-03,10,1152
34,8.5902924121595903e-01,8.5902924121595903e-01,1.2148508034026781e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.4636564110296691e-01,3.4527812006959824e-01,1.4379408698092203e-03,7.4893694324511956e-04,10,1152
35,8.8357293382212931e-01,8.8357293382212931e-01,1.2495608263570404e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.4182761317997507e-01,3.4174368416493761e-01,1.4422485268071618e-03,7.1801075603320397e-04,10,1152
