model,eta0,A,equivalent_rho_kBT,rmse,mae,n_points,kmax
fixed_A,1.7639460690268116e+00,2.9841551829730376e-02,7.5000000000000000e-01,2.3191471878721177e-02,2.0008287221383574e-02,14,1.0000000000000000e+00
fit_eta0_A,1.6910640532083050e+00,1.2320786597082291e-01,3.0965514127873051e+00,1.2897405547019621e-02,1.0785989025546030e-02,14,1.0000000000000000e+00
