cutoff,n_points,rmse_FNS_minus_MD,mae_FNS_minus_MD,mean_FNS_minus_MD
valid_k_lt_2pi_over_auv,90,0.0357387232592439,0.028751332850529027,-0.02867453042635125
k_le_1,14,0.025861772327987007,0.0243495663439181,-0.0243495663439181
k_le_2,28,0.019677956820046437,0.01684040929780388,-0.016593544362946758
