cutoff,n_points,rmse_FNS_minus_MD,mae_FNS_minus_MD,mean_FNS_minus_MD
valid_k_lt_2pi_over_auv,90,0.05043734020995305,0.044877755478500765,-0.044877755478500765
k_le_1,14,0.037201328718166865,0.03636143052485254,-0.03636143052485254
k_le_2,28,0.03113977166704889,0.029706658408439,-0.029706658408439
