model,eta0,A,equivalent_rho_kBT,rmse,mae,n_points,kmax
fixed_A,2.5656299999999999e-01,2.9841551829730376e-02,7.5000000000000000e-01,1.0326413359402545e-02,7.9386491935535420e-03,14,1.0
fit_eta0_A,1.9647786238134096e-01,4.0319073409290002e-02,1.0133288385773844e+00,4.0088327007401911e-03,3.3437952835495277e-03,14,1.0
