cutoff,n_points,rmse_FNS_minus_MD,mae_FNS_minus_MD,mean_FNS_minus_MD
valid_k_lt_2pi_over_auv,90,0.02900855988325394,0.02125793410516889,-0.02040971373318514
k_le_1,14,0.020263749156869897,0.018081551421723078,-0.018081551421723078
k_le_2,28,0.014869018750758592,0.011111200978150016,-0.009786524263190665
