eta0,points_overlap,k_min_overlap,k_max_overlap,rmse_overlap,mae_overlap,bias_overlap,points_k_le_1,rmse_k_le_1,mae_k_le_1,bias_k_le_1
2.5000000000000000e-01,63,6.9420045908724470e-02,4.3734628922496412e+00,2.1260387555489549e-02,1.8717959333462941e-02,1.6690796445209759e-02,14,1.7267327221177183e-02,1.4087427912531885e-02,7.2609745643273703e-03
2.6000000000000001e-01,63,6.9420045908724470e-02,4.3734628922496412e+00,2.7162537680198280e-02,2.5218546701428184e-02,2.4708082883347447e-02,14,1.9562496000698551e-02,1.7337944437342497e-02,1.5247884567349259e-02
2.7000000000000002e-01,63,6.9420045908724470e-02,4.3734628922496412e+00,3.4298849829950608e-02,3.2384073118039196e-02,3.1931450043561307e-02,14,2.6011930608368320e-02,2.3561805777343115e-02,2.1525001942192569e-02
