k,count,Spsi_mean,Spsi_sem
3.8349519697141029e-04,8.0000000000000000e+00,8.3266420523986004e-04,2.4357005983084286e-04
7.6699039394282058e-04,1.2000000000000000e+01,9.7747820165353138e-05,1.7584102419630851e-05
1.1504855909142309e-03,1.6000000000000000e+01,2.8275754954713436e-05,2.6769744303947429e-06
1.5339807878856412e-03,3.2000000000000000e+01,1.0028235377892903e-05,5.6355134009166588e-07
1.9174759848570515e-03,2.8000000000000000e+01,4.3830765148452073e-06,2.9606955951289901e-07
2.3009711818284618e-03,4.0000000000000000e+01,2.2576429394407110e-06,1.5106677095048177e-07
2.6844663787998720e-03,4.0000000000000000e+01,1.3308862615063407e-06,5.5113709150205183e-08
3.0679615757712823e-03,4.8000000000000000e+01,8.4005554798402942e-07,2.7711871389036309e-08
3.4514567727426926e-03,6.8000000000000000e+01,5.3026437931753273e-07,1.3336101479681599e-08
3.8349519697141029e-03,5.6000000000000000e+01,3.5890333761409237e-07,9.8969952451570628e-09
4.2184471666855128e-03,7.2000000000000000e+01,2.5841522623480378e-07,6.2373539190430842e-09
4.6019423636569235e-03,6.8000000000000000e+01,1.9481587138255160e-07,4.4628951791192628e-09
4.9854375606283342e-03,8.8000000000000000e+01,1.5083074053121594e-07,3.1552344035998733e-09
5.3689327575997441e-03,8.8000000000000000e+01,1.1644731718557773e-07,2.5491200006351783e-09
5.7524279545711540e-03,8.4000000000000000e+01,9.0021818684448558e-08,1.5098223064267591e-09
6.1359231515425647e-03,1.1200000000000000e+02,7.3745023404381199e-08,1.4172225952244882e-09
6.5194183485139754e-03,1.1200000000000000e+02,5.9363783599863077e-08,1.2651652346658664e-09
6.9029135454853853e-03,1.1200000000000000e+02,4.7932101570331554e-08,1.0582414429792743e-09
7.2864087424567951e-03,1.1600000000000000e+02,4.0127673774068112e-08,8.9601616000860798e-10
7.6699039394282058e-03,1.1200000000000000e+02,3.3930274932723354e-08,7.0084771593222352e-10
8.0533991363996166e-03,1.4400000000000000e+02,2.8901321142391805e-08,5.7125172661999869e-10
8.4368943333710256e-03,1.4000000000000000e+02,2.4551154794958231e-08,4.1263149271085804e-10
8.8203895303424363e-03,1.4400000000000000e+02,2.1131908396439481e-08,4.2316405617224250e-10
9.2038847273138470e-03,1.4400000000000000e+02,1.8438784939341461e-08,3.4731363603049532e-10
9.5873799242852577e-03,1.6800000000000000e+02,1.6076541344625077e-08,3.4452137094457736e-10
9.9708751212566685e-03,1.6400000000000000e+02,1.3998111645459352e-08,2.8373845497160376e-10
1.0354370318228077e-02,1.6000000000000000e+02,1.2418647314183208e-08,2.5086532488992055e-10
1.0737865515199488e-02,1.8400000000000000e+02,1.0998371751501552e-08,2.4779907516411442e-10
1.1121360712170899e-02,1.7200000000000000e+02,9.8036277099774956e-09,2.0855777260881474e-10
1.1504855909142308e-02,2.0000000000000000e+02,8.7561923756223000e-09,1.8746217209302949e-10
1.1888351106113719e-02,1.9200000000000000e+02,7.8925351772021006e-09,1.6082311268410751e-10
1.2271846303085129e-02,1.8800000000000000e+02,7.1426608776292065e-09,1.4785617930339681e-10
1.2655341500056540e-02,2.0800000000000000e+02,6.4724883721177212e-09,1.4034564495024511e-10
1.3038836697027951e-02,2.2400000000000000e+02,5.8663183452968173e-09,1.2740984596654213e-10
1.3422331893999360e-02,2.2400000000000000e+02,5.3113427883749125e-09,1.1483990014103313e-10
1.3805827090970771e-02,2.2800000000000000e+02,4.8601274819088299e-09,9.6084823186489386e-11
1.4189322287942181e-02,2.2400000000000000e+02,4.4673228293503524e-09,8.8943720402262824e-11
1.4572817484913590e-02,2.4800000000000000e+02,4.0950740803376216e-09,8.7192528561680448e-11
1.4956312681885001e-02,2.3600000000000000e+02,3.7681193304682981e-09,7.1016140709817796e-11
1.5339807878856412e-02,2.6400000000000000e+02,3.4809689093875693e-09,7.4998479768696107e-11
1.5723303075827821e-02,2.4800000000000000e+02,3.2162758170210976e-09,6.7338150560414712e-11
1.6106798272799233e-02,2.6400000000000000e+02,2.9950221499617674e-09,6.1328304773477501e-11
1.6490293469770642e-02,2.7600000000000000e+02,2.7763446815221378e-09,5.7067327783103684e-11
1.6873788666742051e-02,2.6400000000000000e+02,2.5830632276397837e-09,5.0857100792954831e-11
1.7257283863713464e-02,2.8800000000000000e+02,2.4148652360100602e-09,5.0222312456119079e-11
1.7640779060684873e-02,2.7600000000000000e+02,2.2532271598918228e-09,4.5680725164915182e-11
1.8024274257656285e-02,3.0400000000000000e+02,2.1140794324917314e-09,4.3489960229652318e-11
1.8407769454627694e-02,3.0400000000000000e+02,1.9804869864191662e-09,4.0970115952270965e-11
1.8791264651599103e-02,3.1200000000000000e+02,1.8596176068067988e-09,3.7929351315636003e-11
1.9174759848570515e-02,3.1600000000000000e+02,1.7482740732182489e-09,3.5909671314614100e-11
1.9558255045541924e-02,3.2000000000000000e+02,1.6466735922813039e-09,3.2114611502170492e-11
1.9941750242513337e-02,3.4400000000000000e+02,1.5510940652714218e-09,3.1362153172507920e-11
2.0325245439484746e-02,3.1600000000000000e+02,1.4596056174346011e-09,2.9751671781733968e-11
2.0708740636456155e-02,3.3600000000000000e+02,1.3868190882196772e-09,2.8020871657135245e-11
2.1092235833427567e-02,3.5200000000000000e+02,1.3134862562212273e-09,2.7705504783315470e-11
2.1475731030398976e-02,3.4000000000000000e+02,1.2449833019895788e-09,2.4844401317432979e-11
2.1859226227370385e-02,3.7600000000000000e+02,1.1838219645558823e-09,2.4230245704834285e-11
2.2242721424341798e-02,3.3600000000000000e+02,1.1224530088127921e-09,2.3538039035237260e-11
