k,count,transfer_mean,dissipation_mean,production_mean,total_mean,transfer_sem,dissipation_sem,production_sem,total_sem
3.8349519697141029e-04,8.0000000000000000e+00,-7.9381883519737908e-10,-1.4653096191681423e-10,1.0602379059135347e-09,1.1988810879934142e-10,2.1040981972457062e-10,3.6774586216503149e-11,2.7469084160714522e-10,3.4059983932982822e-11
7.6699039394282058e-04,1.2000000000000000e+01,-4.3370918077119994e-10,-9.4882420024179097e-11,5.3870356855721254e-10,1.0111967761833537e-11,8.4743604188866668e-11,1.6985161814788781e-11,1.0631212966108856e-10,7.2367444395492445e-12
1.1504855909142309e-03,1.6000000000000000e+01,-3.0263306053069101e-10,-7.3700941048257273e-11,3.7783091098841491e-10,1.4969094094666241e-12,3.5373811710802187e-11,6.7955142822146907e-12,4.1255730589331082e-11,3.6677265238555954e-12
1.5339807878856412e-03,3.2000000000000000e+01,-3.3135511031846191e-10,-9.0183319229695599e-11,4.2000702276481738e-10,-1.5314067833401862e-12,1.6550820784239481e-11,5.3006472930162660e-12,2.2437975139950400e-11,2.6111521137005156e-12
1.9174759848570515e-03,2.8000000000000000e+01,-1.8594793103126077e-10,-5.6837107307482257e-11,2.4388714111966537e-10,1.1021027809223752e-12,1.3398451540929439e-11,3.8705942064550331e-12,1.6586655812533408e-11,4.1578688297967465e-13
2.3009711818284618e-03,4.0000000000000000e+01,-1.8872071023886940e-10,-5.8726322788989228e-11,2.4757415777240357e-10,1.2712474454496023e-13,8.6596016735468062e-12,3.8511765131394681e-12,1.2476698715393351e-11,6.3040246097338883e-13
2.6844663787998720e-03,4.0000000000000000e+01,-1.4511218879922612e-10,-4.6555713291995208e-11,1.9170172266595145e-10,3.3820574730101508e-14,7.0198546175737789e-12,1.8697659258303606e-12,8.5536374170867080e-12,2.1752373292346857e-13
3.0679615757712823e-03,4.8000000000000000e+01,-1.2914076014026076e-10,-4.5149362811833240e-11,1.7443225687767980e-10,1.4213392558584316e-13,1.9580428552855896e-12,1.4852082017916226e-12,2.7714685762294183e-12,1.9212558243096035e-13
3.4514567727426926e-03,6.8000000000000000e+01,-1.4098165170316914e-10,-5.1834185371992960e-11,1.9322036690565999e-10,4.0452983049788502e-13,3.1608719379997875e-12,1.2856858745487808e-12,3.8236897365080437e-12,1.6043438590217603e-13
3.8349519697141029e-03,5.6000000000000000e+01,-9.3227936996449407e-11,-3.6199790308934675e-11,1.2937905618196784e-10,-4.8671123416220825e-14,2.1740843723531481e-12,9.8728546640806906e-13,2.4877374348646783e-12,6.4791999492051366e-14
4.2184471666855128e-03,7.2000000000000000e+01,-9.9701954563051289e-11,-4.0045328376064092e-11,1.3981856389421007e-10,7.1280955094693259e-14,1.8490390530956146e-12,9.6531814790656795e-13,2.0585874780319830e-12,5.7928998469968002e-14
4.6019423636569235e-03,6.8000000000000000e+01,-7.9542547279408784e-11,-3.3779677718524455e-11,1.1338464210988853e-10,6.2417111955267639e-14,1.6827690096896375e-12,7.8266556758554053e-13,1.6621454659055665e-12,4.7973017351425526e-14
4.9854375606283342e-03,8.8000000000000000e+01,-8.9866096199356438e-11,-3.9616573179306552e-11,1.2956966286766870e-10,8.6993489005699552e-14,2.1850947434970552e-12,8.2257789754627970e-13,2.1605245132960458e-12,5.2428790118695559e-14
5.3689327575997441e-03,8.8000000000000000e+01,-7.7977748228739961e-11,-3.5595706994189659e-11,1.1359602482672549e-10,2.2569603795862911e-14,1.5787326490088508e-12,7.7640809996813177e-13,1.7681792844067862e-12,4.0060410091999417e-14
5.7524279545711540e-03,8.4000000000000000e+01,-6.2428012973286171e-11,-3.0002791925227605e-11,9.2432848867270374e-11,2.0439687565874841e-15,1.2397231500025358e-12,5.0195913692391790e-13,1.0258001002202770e-12,1.9900098911483363e-14
6.1359231515425647e-03,1.1200000000000000e+02,-7.5314010547409774e-11,-3.7273489187382751e-11,1.1257452867246084e-10,-1.2971062331683994e-14,1.5290640988251593e-12,7.1036550944689773e-13,1.3159916110931068e-12,1.5155293241904973e-14
6.5194183485139754e-03,1.1200000000000000e+02,-6.6467190271520302e-11,-3.4161372157469810e-11,1.0063009447181001e-10,1.5320428198855479e-15,6.8769096772158602e-13,7.2616788620080341e-13,7.2589711764617646e-13,1.8706248278542179e-14
6.9029135454853853e-03,1.1200000000000000e+02,-5.7341527763974413e-11,-3.0996787345382521e-11,8.8344919442390194e-11,6.6043330332538454e-15,8.5294956883252921e-13,6.8076470670801401e-13,5.8085829936465091e-13,1.0029331499618444e-14
7.2864087424567951e-03,1.1600000000000000e+02,-5.3542961295992682e-11,-2.9843587811795124e-11,8.3406292072837626e-11,1.9742965049808642e-14,7.1722045264561774e-13,6.6452886770690329e-13,5.8819353409074316e-13,1.1898005797682657e-14
7.6699039394282058e-03,1.1200000000000000e+02,-4.6136462936000696e-11,-2.6827779975222539e-11,7.2992144347260859e-11,2.7901436037620139e-14,9.9261503241557506e-13,5.5447907207688260e-13,7.4122895256742954e-13,1.6269863964525618e-14
8.0533991363996166e-03,1.4400000000000000e+02,-5.3903571506021771e-11,-3.2335479558727768e-11,8.6232133998962780e-11,-6.9170657867590030e-15,7.7837422856948282e-13,6.4021794414741807e-13,5.6441366583757311e-13,1.1042235774763588e-14
8.4368943333710256e-03,1.4000000000000000e+02,-4.7456120735015580e-11,-2.9444453671700832e-11,7.6905133371185407e-11,4.5589644689850455e-15,1.0120422503845514e-12,4.9424286227864059e-13,6.3294840541548960e-13,8.9365739468980515e-15
8.8203895303424363e-03,1.4400000000000000e+02,-4.4484166778182684e-11,-2.8502729744424191e-11,7.2998317262464380e-11,1.1420739857508354e-14,8.1851306624005893e-13,5.7153563175049881e-13,6.0215533707890263e-13,6.0838747933434322e-15
9.2038847273138470e-03,1.4400000000000000e+02,-4.0673332954787405e-11,-2.7009198703856211e-11,6.7698363601280109e-11,1.5831942636501053e-14,7.6884007660131072e-13,5.1000400348479139e-13,2.9156257053452074e-13,6.3931641643653693e-15
9.5873799242852577e-03,1.6800000000000000e+02,-4.3807151130905525e-11,-2.9863744018528100e-11,7.3676944328956809e-11,6.0491795231931128e-15,5.6968146164410312e-13,6.4018885395876733e-13,3.5552425814077869e-13,5.7855704365358023e-15
9.9708751212566685e-03,1.6400000000000000e+02,-3.8590481067659024e-11,-2.7496273867330114e-11,6.6090423404557397e-11,3.6684695682704961e-15,6.3034173608623717e-13,5.5672128125650254e-13,2.8117699965136943e-13,8.3381886116105354e-15
1.0354370318228077e-02,1.6000000000000000e+02,-3.5144940757392427e-11,-2.5631368711760991e-11,6.0781245512850465e-11,4.9360436970528833e-15,6.7675801581486845e-13,5.1818130847827984e-13,3.2632765913505092e-13,5.6335576901212854e-15
1.0737865515199488e-02,1.8400000000000000e+02,-3.6804608466360535e-11,-2.8044336753492368e-11,6.4851839750787610e-11,2.8945309347119016e-15,5.2736377038426478e-13,6.3150929030894592e-13,2.4384511170374498e-13,6.3824906661643098e-15
1.1121360712170899e-02,1.7200000000000000e+02,-3.1676817078757584e-11,-2.5062216521153072e-11,5.6742499168314082e-11,3.4655684034321756e-15,5.8981942785682564e-13,5.3381400785820008e-13,2.2546284708621988e-13,4.7500585820341536e-15
1.1504855909142308e-02,2.0000000000000000e+02,-3.4042338912687538e-11,-2.7861772765600328e-11,6.1908531791447995e-11,4.4201131601226018e-15,5.6457576242525010e-13,5.9679811116383488e-13,2.2740323303610536e-13,3.7525576517993649e-15
1.1888351106113719e-02,1.9200000000000000e+02,-3.0747402216622230e-11,-2.5759971424979274e-11,5.6511409528108466e-11,4.0358865069661404e-15,6.3654833910924000e-13,5.2526768632028668e-13,1.9595781526595644e-13,4.5012020548878006e-15
1.2271846303085129e-02,1.8800000000000000e+02,-2.8154116344790188e-11,-2.4278198550612318e-11,5.2432706671484062e-11,3.9177608155235929e-16,4.9432289562344546e-13,5.0238711339066884e-13,1.7126549254256648e-13,3.1882771520857781e-15
1.2655341500056540e-02,2.0800000000000000e+02,-2.8812943883444434e-11,-2.5830035499146131e-11,5.4642179886549235e-11,-7.9949604132631144e-16,5.8000528530724383e-13,5.6018465476142155e-13,1.4606512500488717e-13,3.7318264690522432e-15
1.3038836697027951e-02,2.2400000000000000e+02,-2.8969618999147343e-11,-2.6808112857817435e-11,5.5780779474649377e-11,3.0476176846003686e-15,5.3287297774726082e-13,5.8225072781395059e-13,2.1039478466702173e-13,3.0160569463621523e-15
1.3422331893999360e-02,2.2400000000000000e+02,-2.6784181166985871e-11,-2.5769581710571797e-11,5.2556585361596037e-11,2.8224840383731370e-15,4.8861245018068623e-13,5.5680642107949730e-13,1.6717945067017365e-13,1.4012699070826987e-15
1.3805827090970771e-02,2.2800000000000000e+02,-2.5650011235024168e-11,-2.5396833778178968e-11,5.1048377836753006e-11,1.5328235498751506e-15,5.5900310220606819e-13,5.0210124010031078e-13,1.5251982286461547e-13,2.3401271743849012e-15
1.4189322287942181e-02,2.2400000000000000e+02,-2.3688039004402746e-11,-2.4224218381887507e-11,4.7912957032527094e-11,6.9964623683953304e-16,4.9486786840360335e-13,4.8193807203173877e-13,1.2296374578298356e-13,1.3905350270880269e-15
1.4572817484913590e-02,2.4800000000000000e+02,-2.4226521352671238e-11,-2.5914912951504759e-11,5.0144516155028352e-11,3.0818508523460889e-15,5.1893640185235259e-13,5.5141836703108885e-13,1.8205101603819239e-13,1.7565227914469982e-15
1.4956312681885001e-02,2.3600000000000000e+02,-2.1793272763344298e-11,-2.3907848838963338e-11,4.5699955246358919e-11,-1.1663559487158207e-15,5.4548955341321305e-13,4.5064618918391003e-13,1.2204653800352473e-13,2.7231769469738727e-15
1.5339807878856412e-02,2.6400000000000000e+02,-2.2692621337238378e-11,-2.5994980416039515e-11,4.8689364530635591e-11,1.7627773576906968e-15,5.1738585182524047e-13,5.6021001952290113e-13,1.5293771839857400e-13,1.6022561340230128e-15
1.5723303075827821e-02,2.4800000000000000e+02,-2.0068581901586830e-11,-2.3708009253516275e-11,4.3779662824242559e-11,3.0716691394512737e-15,5.1606821325705012e-13,4.9620413978286532e-13,7.7218027255171859e-14,1.4674994553124360e-15
1.6106798272799233e-02,2.6400000000000000e+02,-2.0062424150104676e-11,-2.4647174574564378e-11,4.4708828141421055e-11,-7.7058324799452645e-16,4.9976830180612981e-13,5.0474244699060548e-13,6.9796356571785294e-14,2.1899828021774671e-15
1.6490293469770642e-02,2.7600000000000000e+02,-1.9696127621669652e-11,-2.5034793044869741e-11,4.4732759251383128e-11,1.8385848437383841e-15,4.5295197452461776e-13,5.1466716825243193e-13,9.0561202609713628e-14,1.6554709108105553e-15
1.6873788666742051e-02,2.6400000000000000e+02,-1.7698431523760767e-11,-2.3322436824384116e-11,4.1021083816010872e-11,2.1546786598160084e-16,4.7455756810097882e-13,4.5920315751577456e-13,1.2032805999757755e-13,7.1941456658886620e-16
1.7257283863713464e-02,2.8800000000000000e+02,-1.8088713366387984e-11,-2.4862325934513249e-11,4.2954664344845272e-11,3.6250439440318353e-15,5.3917894564288230e-13,5.1699949101563092e-13,9.3425342962594284e-14,1.6902427148021911e-15
1.7640779060684873e-02,2.7600000000000000e+02,-1.6336473099072751e-11,-2.3216635697908659e-11,3.9552932751358770e-11,-1.7604562264486225e-16,4.6549870631774323e-13,4.7073109554378294e-13,9.4140037904977573e-14,9.7753890288019181e-16
1.8024274257656285e-02,3.0400000000000000e+02,-1.6973175565025128e-11,-2.5043819121633251e-11,4.2017725830217282e-11,7.3114355890248902e-16,5.3567305917434885e-13,5.1523698039653026e-13,9.7640514990129939e-14,1.7481088522765882e-15
1.8407769454627694e-02,3.0400000000000000e+02,-1.5977499958918631e-11,-2.4480100380938921e-11,4.0458448026902276e-11,8.4768704472695938e-16,4.5029078169037335e-13,5.0619131234361736e-13,8.2830587368501100e-14,1.7329496950030933e-15
1.8791264651599103e-02,3.1200000000000000e+02,-1.5398975059667946e-11,-2.4600714463037932e-11,4.0000513403783618e-11,8.2388107774005086e-16,4.9128666703938021e-13,5.0167491256482486e-13,6.3713940899525416e-14,6.8621375432863892e-16
1.9174759848570515e-02,3.1600000000000000e+02,-1.4766386883422470e-11,-2.4396585919451932e-11,3.9162989072974142e-11,1.6270099737324058e-17,4.9836496880896888e-13,5.0089685221518889e-13,4.2317087163306315e-14,1.1608622665053526e-15
1.9558255045541924e-02,3.2000000000000000e+02,-1.4031461563657557e-11,-2.4212119408230248e-11,3.8244055224083264e-11,4.7425219545359400e-16,5.3876685975254670e-13,4.7201627406123908e-13,8.5805065544430108e-14,6.2188050819212276e-16
1.9941750242513337e-02,3.4400000000000000e+02,-1.4114826326315957e-11,-2.5511501508293276e-11,3.9628694651739668e-11,2.3668171304301412e-15,5.2423869256821725e-13,5.1574736392611662e-13,8.7257038421194120e-14,1.2927165382887385e-15
2.0325245439484746e-02,3.1600000000000000e+02,-1.2138869035146884e-11,-2.2907978740279858e-11,3.5047320283819273e-11,4.7250839253059770e-16,4.7444178984394245e-13,4.6692318222462819e-13,6.9839760525377022e-14,4.8159837954890525e-16
2.0708740636456155e-02,3.3600000000000000e+02,-1.2246667888578796e-11,-2.4000322440633076e-11,3.6248758658329369e-11,1.7683291174939966e-15,5.1805361846891638e-13,4.8493907719631914e-13,5.4500515650012667e-14,1.1046099383461794e-15
2.1092235833427567e-02,3.5200000000000000e+02,-1.2028704807863460e-11,-2.4702161634903025e-11,3.6731332727812813e-11,4.6628504632681280e-16,4.9336592030314561e-13,5.2105967479974759e-13,4.5260462776366768e-14,1.6566255555530519e-15
2.1475731030398976e-02,3.4000000000000000e+02,-1.0926719566757482e-11,-2.3440516176283377e-11,3.4367713012057241e-11,4.7726901637826163e-16,4.9669412402039706e-13,4.6790386629864830e-13,4.6977130700631866e-14,7.7117271716187072e-16
2.1859226227370385e-02,3.7600000000000000e+02,-1.1474681624731034e-11,-2.5542615995497127e-11,3.7018474848241487e-11,1.1772280133238685e-15,5.4486002720879890e-13,5.2295915184850051e-13,5.4650322205001963e-14,6.5380222163293171e-16
2.2242721424341798e-02,3.3600000000000000e+02,-9.5104988146487855e-12,-2.2397351247852202e-11,3.1907850108896101e-11,4.6395104914091685e-20,4.3710513775601428e-13,4.6981210499721860e-13,5.3605879710894344e-14,4.9922772445331184e-16
2.2626216621313207e-02,3.9200000000000000e+02,-1.0435205938987375e-11,-2.5777660881460127e-11,3.6213462573637973e-11,5.9575319046933564e-16,5.4091534782040334e-13,5.3695490415139700e-13,4.3040171592980154e-14,5.8820170022189953e-16
2.3009711818284616e-02,3.8000000000000000e+02,-9.4529259336491413e-12,-2.4556185424744522e-11,3.4009479278090797e-11,3.6791969713486501e-16,5.0274698453255794e-13,5.1461961484890684e-13,2.2036521934239446e-14,5.6225793833391775e-16
2.3393207015256028e-02,3.6800000000000000e+02,-8.5872651014151534e-12,-2.3386073366267766e-11,3.1973972284438338e-11,6.3381675542212687e-16,4.5958255320988043e-13,4.8641909196714027e-13,4.1978056762749241e-14,3.7403444860245804e-16
2.3776702212227437e-02,4.0000000000000000e+02,-8.7049324023279176e-12,-2.5105685019246449e-11,3.3810599502704891e-11,-1.7918869471905261e-17,5.0729056834834331e-13,5.0547181649874265e-13,5.8804014142304559e-14,4.3917919884041851e-16
2.4160197409198850e-02,3.6400000000000000e+02,-7.3967686646671440e-12,-2.2475421481449621e-11,2.9873187031896964e-11,9.9688578019933360e-16,4.6838582381119697e-13,4.6095943874308764e-13,4.4748473351764704e-14,3.7063356494536775e-16
2.4543692606170259e-02,4.4000000000000000e+02,-8.3106375387702392e-12,-2.6860296565140148e-11,3.5170565704740979e-11,-3.6839916940990560e-16,5.6619258639208498e-13,5.5156048237819933e-13,4.7595818688781943e-14,4.9750825199484847e-16
2.4927187803141668e-02,4.0000000000000000e+02,-6.9918378933252521e-12,-2.4009713369244235e-11,3.1001466328075033e-11,-8.4934494453136733e-17,4.8158290291092826e-13,5.0554696949805872e-13,7.8343796894710257e-14,2.3190941012804811e-16
2.5310683000113080e-02,4.2400000000000000e+02,-6.9259338894369124e-12,-2.5179966811686134e-11,3.2106512364928003e-11,6.1166380495141511e-16,5.0810204394659958e-13,5.1629060254129802e-13,2.9457914546297144e-14,3.9766474180106305e-16
2.5694178197084489e-02,4.2000000000000000e+02,-6.3202958044286758e-12,-2.4658948079138423e-11,3.0980422752354840e-11,1.1788687877414829e-15,5.3033994675016066e-13,5.0183173365070885e-13,4.3406188812342498e-14,7.4835596065889433e-16
2.6077673394055902e-02,4.1600000000000000e+02,-5.7879333091011793e-12,-2.4100275144794890e-11,2.9888820749456613e-11,6.1229556053987759e-16,4.8645802616350728e-13,4.8944177653845345e-13,4.1490716180705951e-14,4.8029740535784921e-16
2.6461168591027311e-02,4.4800000000000000e+02,-5.7582239499286916e-12,-2.5667297414169010e-11,3.1426387655212448e-11,8.6629111475146140e-16,5.2410272001653177e-13,5.2667438764186574e-13,4.7446806909121447e-14,4.7900470003714858e-16
2.6844663787998720e-02,4.2800000000000000e+02,-5.0648581219617071e-12,-2.4251439120610130e-11,2.9316878430585206e-11,5.8118801337609891e-16,4.8218192562188126e-13,4.9269062993643583e-13,3.3631969351186969e-14,3.6568925579298992e-16
2.7228158984970132e-02,4.3200000000000000e+02,-4.5844769353139629e-12,-2.4161704144314054e-11,2.8746112533206267e-11,-6.8546421749137886e-17,4.9853496926449224e-13,4.9971521293486423e-13,3.9595178622964044e-14,4.2461694578893865e-16
2.7611654181941541e-02,4.8000000000000000e+02,-4.6599082195348874e-12,-2.6613426312323097e-11,3.1272944740779554e-11,-3.8979107843022219e-16,5.5458181241314854e-13,5.5164122188542312e-13,4.3698186918287715e-14,4.5370952650786928e-16
2.7995149378912950e-02,4.4400000000000000e+02,-3.8450775783474580e-12,-2.4261779195562485e-11,2.8106996617027705e-11,1.3984311776193510e-16,4.9899852485510955e-13,4.9596453195918462e-13,3.9418462839090503e-14,3.7609191560833202e-16
2.8378644575884363e-02,4.7200000000000000e+02,-3.6595723498738199e-12,-2.5576912911400519e-11,2.9235870081187087e-11,-6.1518008725335342e-16,5.3406586194700017e-13,5.3337064004281181e-13,3.5616084382651385e-14,4.3081119798936224e-16
