time,E_K_mean,psi2_mean,dissipation_mean,production_mean,length_mean,E_K_sem,psi2_sem,dissipation_sem,production_sem,length_sem
1.6384000000000000e+04,1.2774092079026734e+05,4.9008838559211636e+03,4.6911406538871721e-09,5.0650365772692400e-09,1.3578388715329274e+02,8.9535646376212853e+01,7.0335434032963633e+00,3.7929294324470870e-12,6.0330562654561194e-12,9.7203283043833980e-02
3.2768000000000000e+04,1.2907366897095458e+05,7.9131930826262460e+03,5.3714049439762836e-09,5.6800040111101803e-09,1.6124423091519665e+02,1.4984669191341055e+02,1.7920358871435560e+01,1.3264232594153766e-11,1.5071500619411719e-11,1.2816072789837535e-01
4.9152000000000000e+04,1.2968202759847922e+05,1.0581957104992318e+04,5.7466911975729413e-09,6.0355731133357717e-09,1.8027107966402920e+02,1.1432759896791143e+02,3.2967924235449694e+01,1.4364016392810577e-11,1.7046569921506824e-11,2.9404398301329521e-01
6.5536000000000000e+04,1.2993141744091785e+05,1.3056716526530785e+04,6.0102721958323577e-09,6.2850978142501873e-09,1.9579997048263172e+02,1.2197941836717607e+02,6.0048395257116013e+01,1.1593309727871789e-11,1.0612094639119174e-11,3.6969123367750412e-01
8.1920000000000000e+04,1.2994392038223558e+05,1.5319590603148914e+04,6.2117108296633321e-09,6.4557552004479743e-09,2.0861347207864614e+02,9.9591268291693652e+01,1.1635528989044369e+02,1.3808855773531614e-11,2.0196706291480250e-11,6.2791715508297441e-01
9.8304000000000000e+04,1.3018225876373464e+05,1.7511046263159016e+04,6.3893542565910932e-09,6.6421630592228478e-09,2.1990881794242443e+02,7.5135345379088221e+01,1.4954540146686830e+02,1.7285215275596456e-11,1.9737305357258834e-11,6.8040742426021505e-01
1.1468800000000000e+05,1.3027226770934455e+05,1.9695952165659128e+04,6.4956672513173874e-09,6.7520627154762895e-09,2.3130644216421757e+02,1.1667021018304732e+02,1.8124050837834324e+02,1.8014327642565278e-11,2.0311943438722870e-11,8.3142857463559350e-01
1.3107200000000000e+05,1.3034378196946850e+05,2.1833983109954279e+04,6.6046460997335080e-09,6.8457138709110212e-09,2.4151946588858195e+02,1.0269854219541854e+02,2.0395461612203684e+02,2.3890746120693692e-11,2.0522489079414909e-11,8.0135701077967658e-01
1.4745600000000000e+05,1.3040802493085312e+05,2.3908260573623982e+04,6.7101713940090355e-09,6.9456021311798489e-09,2.5073820802521701e+02,8.9793533433771003e+01,2.2135410627165922e+02,1.1903606602179563e-11,1.3459284416391311e-11,1.0299333750417574e+00
1.6384000000000000e+05,1.3013763983967820e+05,2.5884580007642711e+04,6.7878391536056796e-09,7.0082381827181146e-09,2.5939281114680625e+02,8.3657463350579050e+01,2.6269555154584691e+02,1.2050366552625111e-11,2.0773967862099715e-11,1.1198485835563223e+00
1.8022400000000000e+05,1.3021848135892078e+05,2.7783941021847808e+04,6.8522376115930996e-09,7.0760274772359478e-09,2.6747480293030208e+02,6.4412514091277885e+01,2.8759867258447565e+02,1.6576277129296639e-11,1.0825288446159805e-11,1.1550514920943185e+00
1.9660800000000000e+05,1.3016117828062752e+05,2.9718997010810053e+04,6.9121137736509135e-09,7.1413104550517671e-09,2.7543561576026474e+02,1.4929134782257526e+02,3.0384735017672205e+02,1.9405525343773958e-11,1.9208616356752316e-11,1.2351207276682239e+00
2.1299200000000000e+05,1.3037634041473952e+05,3.1649219440066270e+04,7.0108167843920723e-09,7.2202286966654873e-09,2.8222664771453111e+02,1.3455486174243168e+02,3.5076495949307338e+02,1.4912890735954861e-11,2.5405005379183649e-11,1.4185815081052857e+00
2.2937600000000000e+05,1.3036404686274152e+05,3.3524699717111878e+04,7.0768113492691343e-09,7.2782396353213311e-09,2.8909515083829808e+02,9.8679418947457123e+01,4.3518379813241671e+02,2.8380303376501596e-11,2.7428548739659790e-11,1.4896381294799730e+00
2.4576000000000000e+05,1.3012350183781811e+05,3.5314719492781856e+04,7.0793011115979077e-09,7.2844395037004359e-09,2.9664629620016814e+02,1.6051003515440806e+02,4.9668499900865561e+02,2.3334286760249863e-11,3.1680482098557085e-11,1.6650691472977461e+00
2.6214400000000000e+05,1.3026826531788299e+05,3.7162721682037787e+04,7.1315661249654272e-09,7.3329333450751044e-09,3.0319382355363496e+02,8.2772954469673323e+01,5.3121344473950137e+02,2.0789570491703961e-11,2.8700681971789691e-11,1.8863716434957081e+00
2.7852800000000000e+05,1.3043207898116024e+05,3.9136553540790876e+04,7.1780606632534659e-09,7.4167524721855978e-09,3.1012891525902290e+02,1.3416195330065972e+02,5.7300583420426608e+02,1.6501258250104876e-11,2.6014955585717515e-11,2.0379289788789730e+00
2.9491200000000000e+05,1.3017294878095518e+05,4.1177605929399775e+04,7.2281332423270029e-09,7.4695126984837749e-09,3.1701508832830564e+02,1.0966284938836768e+02,5.8948960491358957e+02,1.9356940297149416e-11,2.0825384600575565e-11,2.0689207596470336e+00
3.1129600000000000e+05,1.3026754531412535e+05,4.3241541891759349e+04,7.2738842264654334e-09,7.5020015604748574e-09,3.2383619993474417e+02,1.3156194699517843e+02,6.2048178273006602e+02,1.6058884266324249e-11,1.8012882016863561e-11,2.0812916360729776e+00
3.2768000000000000e+05,1.3056252570950250e+05,4.5212896367714791e+04,7.3411834749091652e-09,7.5601458557077949e-09,3.2961830415616595e+02,2.0652484162509666e+02,6.5336274275101198e+02,2.2650446826428957e-11,1.9594579873205669e-11,2.1739050759670024e+00
