comparison,quantity,baseline_window,comparison_window,baseline_mean,comparison_mean,relative_change
segment1_last_half_vs_first_half,E_K,segment_001_first_half,segment_001_last_half,1.3057607751569666e+05,1.3057154261023388e+05,-3.4729986909187272e-05
segment1_last_half_vs_first_half,psi2,segment_001_first_half,segment_001_last_half,6.2127939348192871e+04,6.2996813472443297e+04,1.3985239706420407e-02
segment1_last_half_vs_first_half,dissipation,segment_001_first_half,segment_001_last_half,8.9345675909771984e-10,8.9426753308528692e-10,9.0745744470707018e-04
segment1_last_half_vs_first_half,production,segment_001_first_half,segment_001_last_half,8.9567826389329094e-10,8.9325811320893648e-10,-2.7020312783238359e-03
segment1_last_half_vs_first_half,length,segment_001_first_half,segment_001_last_half,5.9706282417157499e+03,6.0714436105634340e+03,1.6885219572591124e-02
segment1_last_quarter_vs_previous,E_K,segment_001_q3,segment_001_q4,1.3056838121882081e+05,1.3057470192996190e+05,4.8409201998877928e-05
segment1_last_quarter_vs_previous,psi2,segment_001_q3,segment_001_q4,6.3351394980854864e+04,6.2642464324128981e+04,-1.1190450611863013e-02
segment1_last_quarter_vs_previous,dissipation,segment_001_q3,segment_001_q4,8.9294998266847506e-10,8.9558422010077738e-10,2.9500391773682770e-03
segment1_last_quarter_vs_previous,production,segment_001_q3,segment_001_q4,8.9404548211508134e-10,8.9247126027193061e-10,-1.7607849652419559e-03
segment1_last_quarter_vs_previous,length,segment_001_q3,segment_001_q4,6.0936477614344658e+03,6.0492540102499843e+03,-7.2852506286039537e-03
