k,count,Spsi_mean,Spsi_sem
3.8349519697141029e-04,8.0000000000000000e+00,2.5830019038727194e-05,2.5969522702425222e-06
7.6699039394282058e-04,1.2000000000000000e+01,1.8796476764950208e-06,1.0845119189653452e-07
1.1504855909142309e-03,1.6000000000000000e+01,4.7898233826953899e-07,1.0722930232318857e-08
1.5339807878856412e-03,3.2000000000000000e+01,1.5505328722157147e-07,1.8487706652789505e-09
1.9174759848570515e-03,2.8000000000000000e+01,5.8303943825164829e-08,8.0675438139324202e-10
2.3009711818284618e-03,4.0000000000000000e+01,2.9072002202019688e-08,1.4070892795817622e-10
2.6844663787998720e-03,4.0000000000000000e+01,1.6138892269475871e-08,1.3160789139655959e-10
3.0679615757712823e-03,4.8000000000000000e+01,9.6991957163660671e-09,4.2177472853374861e-11
3.4514567727426926e-03,6.8000000000000000e+01,5.9902567112120164e-09,4.4757180533801004e-11
3.8349519697141029e-03,5.6000000000000000e+01,3.8369374977622132e-09,2.3844937653418102e-11
4.2184471666855128e-03,7.2000000000000000e+01,2.6734240981137157e-09,8.8834129332228386e-12
4.6019423636569235e-03,6.8000000000000000e+01,1.9070176107220954e-09,5.8246473428048089e-12
4.9854375606283342e-03,8.8000000000000000e+01,1.3947629437583624e-09,6.3496899799569765e-12
5.3689327575997441e-03,8.8000000000000000e+01,1.0308702552624756e-09,2.0674166482219112e-12
5.7524279545711540e-03,8.4000000000000000e+01,7.9052206590081651e-10,2.2590898468450788e-12
6.1359231515425647e-03,1.1200000000000000e+02,6.1100825233900053e-10,1.2842213850881307e-12
6.5194183485139754e-03,1.1200000000000000e+02,4.6962585298858534e-10,1.1470475680394667e-12
6.9029135454853853e-03,1.1200000000000000e+02,3.7410300713112060e-10,8.1667041734822939e-13
7.2864087424567951e-03,1.1600000000000000e+02,3.0254538189990178e-10,5.9048283094438144e-13
7.6699039394282058e-03,1.1200000000000000e+02,2.5082817235549080e-10,2.4308322651027519e-13
8.0533991363996166e-03,1.4400000000000000e+02,2.0650525604692812e-10,3.0655575769067664e-13
8.4368943333710256e-03,1.4000000000000000e+02,1.6999236919303810e-10,2.1221379269395219e-13
8.8203895303424363e-03,1.4400000000000000e+02,1.4204821241621267e-10,1.9275802191318612e-13
9.2038847273138470e-03,1.4400000000000000e+02,1.2049993563991211e-10,1.4498877416484548e-13
9.5873799242852577e-03,1.6800000000000000e+02,1.0192441325590756e-10,9.1099086092908666e-14
9.9708751212566685e-03,1.6400000000000000e+02,8.7054381341674747e-11,6.1522015308865218e-14
1.0354370318228077e-02,1.6000000000000000e+02,7.5137563029030983e-11,8.7725841419039334e-14
1.0737865515199488e-02,1.8400000000000000e+02,6.5121803958631455e-11,9.2741546298661089e-14
1.1121360712170899e-02,1.7200000000000000e+02,5.6560057140329934e-11,5.5486936344985233e-14
1.1504855909142308e-02,2.0000000000000000e+02,4.9484921688508562e-11,3.4909359734217604e-14
1.1888351106113719e-02,1.9200000000000000e+02,4.3244556437476423e-11,3.9694970505179406e-14
1.2271846303085129e-02,1.8800000000000000e+02,3.8255579363777825e-11,2.5963632076481204e-14
1.2655341500056540e-02,2.0800000000000000e+02,3.3955197926212748e-11,2.7285119129583970e-14
1.3038836697027951e-02,2.2400000000000000e+02,3.0072530155227576e-11,1.6294412324459371e-14
1.3422331893999360e-02,2.2400000000000000e+02,2.6682923308453711e-11,1.1720523817462605e-14
1.3805827090970771e-02,2.2800000000000000e+02,2.3839815336717787e-11,1.4667721444801606e-14
1.4189322287942181e-02,2.2400000000000000e+02,2.1350127062737321e-11,1.1726632282499668e-14
1.4572817484913590e-02,2.4800000000000000e+02,1.9231092447197884e-11,1.5136838759778526e-14
1.4956312681885001e-02,2.3600000000000000e+02,1.7327600560854435e-11,1.8735187156517601e-14
1.5339807878856412e-02,2.6400000000000000e+02,1.5663474792719092e-11,1.3429063366518033e-14
1.5723303075827821e-02,2.4800000000000000e+02,1.4176528329746824e-11,8.7844668442839426e-15
1.6106798272799233e-02,2.6400000000000000e+02,1.2890565021730519e-11,4.3398590854216308e-15
1.6490293469770642e-02,2.7600000000000000e+02,1.1740096821942062e-11,4.7817663124005513e-15
1.6873788666742051e-02,2.6400000000000000e+02,1.0724790474859319e-11,4.2566153844854846e-15
1.7257283863713464e-02,2.8800000000000000e+02,9.8088422296267468e-12,4.3805272293795853e-15
1.7640779060684873e-02,2.7600000000000000e+02,9.0014205131337384e-12,5.3745399274944334e-15
1.8024274257656285e-02,3.0400000000000000e+02,8.2616423891513749e-12,4.2525948346338146e-15
1.8407769454627694e-02,3.0400000000000000e+02,7.5822799243492753e-12,2.9920944401073396e-15
1.8791264651599103e-02,3.1200000000000000e+02,6.9746432336260217e-12,1.9520452187100940e-15
1.9174759848570515e-02,3.1600000000000000e+02,6.4318710611987322e-12,2.4015625178673562e-15
1.9558255045541924e-02,3.2000000000000000e+02,5.9359510137337320e-12,2.5630575501090067e-15
1.9941750242513337e-02,3.4400000000000000e+02,5.4908161771476586e-12,2.8259127946440795e-15
2.0325245439484746e-02,3.1600000000000000e+02,5.0872516783740636e-12,2.8544121463129708e-15
2.0708740636456155e-02,3.3600000000000000e+02,4.7311653872117345e-12,2.0877724883314668e-15
2.1092235833427567e-02,3.5200000000000000e+02,4.3958651625342209e-12,1.5332110499970733e-15
2.1475731030398976e-02,3.4000000000000000e+02,4.0909901445605671e-12,1.6800104400294377e-15
2.1859226227370385e-02,3.7600000000000000e+02,3.8123160694375846e-12,1.3732943844280286e-15
2.2242721424341798e-02,3.3600000000000000e+02,3.5594332068263489e-12,8.2024936677339598e-16
2.2626216621313207e-02,3.9200000000000000e+02,3.3266325412538682e-12,1.0683828037648011e-15
2.3009711818284616e-02,3.8000000000000000e+02,3.1055262471872905e-12,1.0023586404195423e-15
2.3393207015256028e-02,3.6800000000000000e+02,2.9096253064497459e-12,1.5209788082953108e-15
2.3776702212227437e-02,4.0000000000000000e+02,2.7267175447366697e-12,1.0369209755791455e-15
2.4160197409198850e-02,3.6400000000000000e+02,2.5626108274745146e-12,8.3945299479505681e-16
2.4543692606170259e-02,4.4000000000000000e+02,2.4034865497771579e-12,5.3675428053620908e-16
2.4927187803141668e-02,4.0000000000000000e+02,2.2571245387557561e-12,7.4876718040091869e-16
2.5310683000113080e-02,4.2400000000000000e+02,2.1222493769736826e-12,5.2118245623384075e-16
2.5694178197084489e-02,4.2000000000000000e+02,1.9980146980325103e-12,6.8485244113796837e-16
2.6077673394055902e-02,4.1600000000000000e+02,1.8844512320027410e-12,6.7370736247004640e-16
2.6461168591027311e-02,4.4800000000000000e+02,1.7782415642296068e-12,6.6030812079158525e-16
2.6844663787998720e-02,4.2800000000000000e+02,1.6788560082972735e-12,6.4016474790484003e-16
2.7228158984970132e-02,4.3200000000000000e+02,1.5885997095193683e-12,6.1773835163315197e-16
2.7611654181941541e-02,4.8000000000000000e+02,1.5006552372955245e-12,3.1264937059623584e-16
2.7995149378912950e-02,4.4400000000000000e+02,1.4188915270349234e-12,4.1257494344787482e-16
2.8378644575884363e-02,4.7200000000000000e+02,1.3457978336222126e-12,5.8127379174320766e-16
2.8762139772855772e-02,4.5600000000000000e+02,1.2752362896070520e-12,2.4455138101216499e-16
2.9145634969827180e-02,4.8800000000000000e+02,1.2100371084915491e-12,2.4757330187178139e-16
2.9529130166798593e-02,5.0000000000000000e+02,1.1471939159377195e-12,3.6996941789639346e-16
2.9912625363770002e-02,4.7200000000000000e+02,1.0891101944194602e-12,4.2874483717817651e-16
3.0296120560741414e-02,4.9600000000000000e+02,1.0365445528637499e-12,3.7233932676348236e-16
3.0679615757712823e-02,4.9200000000000000e+02,9.8591937610747705e-13,1.5862902451003066e-16
3.1063110954684232e-02,5.3600000000000000e+02,9.3769229354492255e-13,2.8650539921217988e-16
