quantity,time_average_mean,time_average_std,time_average_sem,final_mean,final_std,final_sem
E_K,1.3057810286823465e+05,1.4424667053320523e+01,5.0998899448805579e+00,1.3057207012151185e+05,4.2658545134071198e+02,1.5082073269927071e+02
psi2,6.6431625871259050e+04,1.5207810570437459e+04,5.3767729906783925e+03,6.5700740775534010e+04,4.8749273736001654e+04,1.7235471018323013e+04
grad2,6.0592172445574244e-02,2.0812687715409022e-03,7.3583963091418359e-04,6.1246511284691461e-02,7.9989516091242916e-03,2.8280564625974163e-03
dissipation,9.0289372869691616e-10,3.1013321452452275e-11,1.0964864953073615e-11,9.1264413721399697e-10,1.1919366730934816e-10,4.2141325214466696e-11
production,9.0435828147161424e-10,3.1161654330044474e-11,1.1017308544882794e-11,8.7928319127672632e-10,1.7340132532152611e-10,6.1306626500792847e-11
