term,mean,std,sem,abs_mean_over_abs_production_mean
transfer,-7.8747251002782282e-26,3.8942207324499369e-25,1.3768149436762972e-25,8.7025599017515944e-17
dissipation,-9.0289514514002569e-10,3.1054729952823604e-11,1.0979505068779282e-11,9.9781249320108378e-01
production,9.0487456440182100e-10,3.1298596655224163e-11,1.1065724968265800e-11,1.0000000000000000e+00
total,1.9794192617952470e-12,8.8919483444074656e-12,3.1437784861455064e-12,2.1875067989161213e-03
dissipation_plus_production,1.9794192617953581e-12,8.8919483444074252e-12,3.1437784861454922e-12,2.1875067989162440e-03
