replica,block,step,time,samples,n_shells,transfer,dissipation,production,total,closure_residual
replica_000,15625,28125000,1.1250000000000000e+08,156250,361,3.2422814293307762e-25,-8.8437282626410226e-10,8.8322388577952923e-10,-1.1489404845727316e-12,-1.5550026163716585e-26
replica_001,15625,28125000,1.1250000000000000e+08,156250,361,-2.6576408352533799e-25,-9.1805714077350001e-10,9.3810740209978680e-10,2.0050261326286514e-11,4.2005265481208437e-26
replica_002,15625,28125000,1.1250000000000000e+08,156250,361,-2.3405818602269509e-25,-9.1947269309894130e-10,9.1541228805394378e-10,-4.0604050449978486e-12,-1.2359241574278636e-25
replica_003,15625,28125000,1.1250000000000000e+08,156250,361,3.6855581491925672e-25,-8.9662258731899691e-10,8.9627857423084134e-10,-3.4401308815498147e-13,1.6903080388351664e-25
replica_004,15625,28125000,1.1250000000000000e+08,156250,361,7.6942337251636607e-26,-9.5217364566611907e-10,9.5173589145536758e-10,-4.3775421075154636e-13,-5.6495062588307981e-26
replica_005,15625,28125000,1.1250000000000000e+08,156250,361,-8.4596181298452952e-25,-9.2373320388498388e-10,9.1632176588173266e-10,-7.4114380032521880e-12,-1.3409373211308847e-25
replica_006,15625,28125000,1.1250000000000000e+08,156250,361,-1.3126645462877636e-25,-8.6835449982109282e-10,8.7875978896245347e-10,1.0405289141360474e-11,-7.2701421025168448e-26
replica_007,15625,28125000,1.1250000000000000e+08,156250,361,7.7346234035109765e-26,-8.6037456429246927e-10,8.5915691875091353e-10,-1.2176455415557146e-12,-7.5528698509480554e-26
