frame,step,time,samples,sine2d_amplitude_mean,sine2d_amplitude_sem,sine2d_amplitude_std,psi_mean_mean,psi_mean_sem,psi_std_mean,psi_std_sem,psi_rms_mean,psi_rms_sem,mean_field_min,mean_field_max,mean_field_rms,field_ensemble_std_mean
22,276000,1104000.0,16,0.04366991751870547,0.00012340401784336662,0.0004936160713734665,1.468190441907454e-20,1.400475031381269e-20,0.022337705429837304,4.9243340363966425e-05,0.022337705429837304,4.9243340363966425e-05,-0.044050922588375424,0.04401069426358121,0.021861822790616072,0.004405010243043388
23,288000,1152000.0,16,0.04199979015962804,0.0001254730428251673,0.0005018921713006692,-8.282099928708714e-21,1.6003127777031427e-20,0.02150696992893862,4.900565085310928e-05,0.02150696992893862,4.900565085310928e-05,-0.0423814559590075,0.042189394043676796,0.02102705564451877,0.004342592211021413
24,300000,1200000.0,16,0.04038544777150135,0.00012789400622833212,0.0005115760249133285,1.2917252445628083e-20,2.3826165716620978e-20,0.02070366715160682,4.9118184001241814e-05,0.02070366715160682,4.9118184001241814e-05,-0.04072662814033772,0.0405497298324391,0.02022108017835366,0.004272323399416413
25,312000,1248000.0,16,0.03883299860956684,0.00013040648305143393,0.0005216259322057357,1.32231254543588e-20,1.5934045956144015e-20,0.01992983441130601,4.918044764542932e-05,0.01992983441130601,4.918044764542932e-05,-0.03927042135780516,0.03903025464975533,0.01944507188084479,0.0042034431365948356
26,324000,1296000.0,16,0.03734255429654104,0.0001321319190626264,0.0005285276762505056,-8.282099928708712e-21,1.640256048902698e-20,0.019184974082920955,4.8948519940054925e-05,0.019184974082920955,4.8948519940054925e-05,-0.037730046244446036,0.037564933209401956,0.01869978524857519,0.0041318830381920696
27,336000,1344000.0,16,0.03590578086585034,0.00013622114841919944,0.0005448845936767978,-2.446984069845757e-20,1.2759316108693221e-20,0.018469977387174874,4.931423571781653e-05,0.018469977387174874,4.931423571781653e-05,-0.03621662672558276,0.036388042095321566,0.017980956884205746,0.0040714534509523085
28,348000,1392000.0,16,0.03451850845511552,0.00014060589084248406,0.0005624235633699363,-2.202285662861181e-20,1.761832552283154e-20,0.017778196267692788,5.068038966110966e-05,0.017778196267692788,5.068038966110966e-05,-0.034943497980515485,0.0350088586102667,0.017286761107169316,0.004007091739677959
29,360000,1440000.0,16,0.03318667315900051,0.0001447294416655717,0.0005789177666622868,1.6752429401251718e-20,1.8176321680504805e-20,0.017111690836024544,5.21956792596329e-05,0.017111690836024544,5.21956792596329e-05,-0.03362522669539267,0.03361079112046928,0.016620106678136584,0.003933676717068919
30,372000,1488000.0,16,0.03190216355567527,0.00014732966844150828,0.0005893186737660331,-2.635213613680046e-21,2.0529277440132708e-20,0.016470223264260682,5.3351929685058224e-05,0.016470223264260682,5.3351929685058224e-05,-0.0323849855445627,0.03232343033054076,0.01597770789662962,0.00386503867097919
31,384000,1536000.0,16,0.030664960328577538,0.0001505591932676455,0.000602236773070582,4.517509052022936e-21,1.341800742778014e-20,0.015852073216416615,5.4721555265831626e-05,0.015852073216416615,5.4721555265831626e-05,-0.031023845507753944,0.031016702896929954,0.015359104771320832,0.0037974688764630723
32,396000,1584000.0,16,0.029473759783030712,0.00015384177114660254,0.0006153670845864102,-9.411477191714445e-21,1.6707037719526478e-20,0.015256305969069642,5.637255453347623e-05,0.015256305969069642,5.637255453347623e-05,-0.029895817880568,0.029763466683888472,0.01476343970913965,0.003727134897149445
33,408000,1632000.0,16,0.028327079775204787,0.00015602906391907277,0.0006241162556762911,-2.39051520669547e-20,1.5717711676847025e-20,0.014684200647852346,5.729957363491647e-05,0.014684200647852346,5.729957363491647e-05,-0.028662012998171796,0.028582906493598417,0.014190043490263773,0.003662516325338496
34,420000,1680000.0,16,0.02722079485294646,0.00015737382030016862,0.0006294952812006745,-1.618774076974885e-20,1.723042455742967e-20,0.014133877726446756,5.772758302067887e-05,0.014133877726446756,5.772758302067887e-05,-0.027503679002200774,0.027529909795860417,0.013637364378128113,0.003602217407888467
35,432000,1728000.0,16,0.026148135832441362,0.00015837720771539539,0.0006335088308615815,-1.2799608980731646e-20,1.5533975016799167e-20,0.013600606689974423,5.8019242967384216e-05,0.013600606689974423,5.8019242967384216e-05,-0.02643816361790916,0.02651649044688054,0.013101170168033128,0.0035432074634419433
36,444000,1776000.0,16,0.02511573653002222,0.0001603131867797834,0.0006412527471191336,-1.1482002173891628e-20,1.6450228343703753e-20,0.013084625824347686,5.881909998382166e-05,0.013084625824347686,5.881909998382166e-05,-0.025349909497466346,0.025558703796819987,0.012584964042467785,0.0034745654184639915
37,456000,1824000.0,16,0.02411396556090506,0.00016122714432926843,0.0006449085773170737,6.399804490365826e-21,1.2915345152108003e-20,0.012584455536850489,5.910013536924068e-05,0.012584455536850489,5.910013536924068e-05,-0.02433647355870497,0.024610138252737085,0.012084286124931525,0.003408758719731327
38,468000,1872000.0,16,0.023149050706152842,0.00016229723676231564,0.0006491889470492626,-8.093870384874427e-21,1.4596308088826313e-20,0.012102904477946628,5.982448536639549e-05,0.012102904477946628,5.982448536639549e-05,-0.02335959479164886,0.02371777404883926,0.01160207961676127,0.00334366841127876
39,480000,1920000.0,16,0.02221818280672075,0.00016294770461403672,0.0006517908184561469,-1.2611379436897361e-20,1.8428752210251876e-20,0.011639562941112461,6.0211720367998695e-05,0.011639562941112461,6.0211720367998695e-05,-0.02252494358517741,0.02278543533298082,0.01113720761731418,0.0032837416896251523
40,492000,1968000.0,16,0.021322524047027787,0.00016336759533511818,0.0006534703813404727,3.57636133285149e-21,1.505138170927369e-20,0.011192688135224513,6.027092646096568e-05,0.011192688135224513,6.027092646096568e-05,-0.021688539306256593,0.021914010408965588,0.010689875493038766,0.003221232446570923
41,504000,2016000.0,16,0.020463191003596632,0.0001627511879996959,0.0006510047519987836,-1.0540854454720182e-20,1.1298790969620725e-20,0.01076394523747326,5.985472497034858e-05,0.01076394523747326,5.985472497034858e-05,-0.020813544831337023,0.02107208064837992,0.010260842154901272,0.003159513946098036
42,516000,2064000.0,16,0.019638820312584772,0.00016120974665263416,0.0006448389866105367,2.244637310223896e-20,1.2456988690003061e-20,0.010351976474608763,5.89718184882819e-05,0.010351976474608763,5.89718184882819e-05,-0.019909323524133576,0.02027191912608384,0.009849283772566362,0.00309711185724062
43,528000,2112000.0,16,0.018845637723985786,0.00015835198387205763,0.0006334079354882305,5.670415008007954e-21,1.583626468216598e-20,0.009953910032841604,5.7385696901354414e-05,0.009953910032841604,5.7385696901354414e-05,-0.018997957863859185,0.019526769052842837,0.00945305012030765,0.0030316716977706695
44,540000,2160000.0,16,0.01808415857860003,0.00015622052463598417,0.0006248820985439367,1.3129010682441655e-20,1.2981738955180815e-20,0.009570595665629199,5.621579532039288e-05,0.009570595665629199,5.621579532039288e-05,-0.018294345487479272,0.01875463369982993,0.009072355674225393,0.00296620530599312
45,552000,2208000.0,16,0.01735232461937458,0.00015473418957585633,0.0006189367583034253,-1.5999511225914562e-20,1.4048112818185844e-20,0.009200676695162441,5.5426182400073636e-05,0.009200676695162441,5.5426182400073636e-05,-0.017475504245421665,0.0180135144916432,0.008706452281394465,0.002897228452290441
46,564000,2256000.0,16,0.016649776676476026,0.0001525940581437514,0.0006103762325750056,2.8234431575143353e-21,1.0645985221729274e-20,0.008846060772195876,5.440531838503444e-05,0.008846060772195876,5.440531838503444e-05,-0.01674343444752114,0.01727064748948646,0.008355137712944927,0.002832522975902232
47,576000,2304000.0,16,0.01597451707606011,0.00015028667044087113,0.0006011466817634845,-3.2093137223746266e-20,1.4130490186659033e-20,0.00850682048949112,5.335281774407147e-05,0.00850682048949112,5.335281774407147e-05,-0.016069508812921667,0.016555081767589498,0.00801774243580708,0.0027725880853865146
48,588000,2352000.0,16,0.015325649509585666,0.00014821936577763656,0.0005928774631105462,1.1764346489643062e-20,1.2455596131627605e-20,0.008181419340405165,5.207405934844854e-05,0.008181419340405165,5.207405934844854e-05,-0.01537878975573556,0.015939161747223988,0.007693180004767478,0.00271546373232617
49,600000,2400000.0,16,0.014699877491818482,0.00014650685836204073,0.0005860274334481629,-2.5410988417629018e-21,1.9042390131533218e-20,0.007867695444280459,5.0869028323027785e-05,0.007867695444280459,5.0869028323027785e-05,-0.01470806270446209,0.015256429949710198,0.007380206899963163,0.002659869910608025
