sample,noise_seed,frame,step,time,psi_mean,psi_std,psi_rms,psi_min,psi_max,sine2d_amplitude
000,1698502130,0,12000,48000.0,-1.2347858075529356e-19,0.048798249603017436,0.048798249603017436,-0.09794890748602707,0.09768512193515173,0.09745214772453042
000,1698502130,1,24000,96000.0,-9.035018104045871e-20,0.047376737480406626,0.047376737480406626,-0.0950916770769433,0.09494488480951765,0.09451542499551645
000,1698502130,2,36000,144000.0,4.216341781888073e-20,0.04592049846068779,0.04592049846068779,-0.09226828237939376,0.09241840002297187,0.09151686497882448
000,1698502130,3,48000,192000.0,2.4093381610788986e-20,0.0444566540551698,0.0444566540551698,-0.08891730936780579,0.08946391173976727,0.08851734876956512
000,1698502130,4,60000,240000.0,-4.818676322157797e-20,0.04300918825463998,0.04300918825463998,-0.08628218951274962,0.08679107933380316,0.08554243427795404
000,1698502130,5,72000,288000.0,6.023345402697247e-20,0.04156850478673938,0.04156850478673938,-0.08285383357755942,0.08398326887412445,0.08261248426321059
000,1698502130,6,84000,336000.0,2.4093381610788986e-20,0.04016422741560196,0.04016422741560196,-0.08021942659231576,0.08127020153458195,0.07973394941840899
000,1698502130,7,96000,384000.0,-6.023345402697247e-20,0.03876554697862144,0.03876554697862144,-0.07786240381115223,0.07858608709765855,0.07687327846021386
000,1698502130,8,108000,432000.0,-6.625679942966972e-20,0.03739845374645728,0.03739845374645728,-0.07505682329497954,0.07571144015717379,0.07408058966555436
000,1698502130,9,120000,480000.0,-2.4093381610788986e-20,0.03603711869931161,0.03603711869931161,-0.07303657708964506,0.07342515822363604,0.07130913221438333
000,1698502130,10,132000,528000.0,4.216341781888073e-20,0.03471882258525111,0.03471882258525111,-0.07047769342144507,0.0709171095970601,0.0686484513545024
000,1698502130,11,144000,576000.0,-1.2498441710596786e-19,0.03344481494133941,0.03344481494133941,-0.0679365977783861,0.0682016756645542,0.06607366829921169
000,1698502130,12,156000,624000.0,3.614007241618348e-20,0.032207276606791964,0.032207276606791964,-0.06578073268031145,0.0656435429520042,0.06359164824383239
000,1698502130,13,168000,672000.0,-7.228014483236696e-20,0.031036799796180584,0.031036799796180584,-0.06361859042249003,0.0632928525864136,0.061253499401774714
000,1698502130,14,180000,720000.0,-6.0233454026972465e-21,0.029909983414136348,0.029909983414136348,-0.06149320416464491,0.06157680372280932,0.058991290026903856
000,1698502130,15,192000,768000.0,-6.023345402697247e-20,0.02883300323074839,0.02883300323074839,-0.05951740593227673,0.059509897261903144,0.05681299001138821
000,1698502130,16,204000,816000.0,-7.228014483236696e-20,0.027792695105098214,0.027792695105098214,-0.057123368260831975,0.05717485921916242,0.054705307824068336
000,1698502130,17,216000,864000.0,-6.023345402697247e-20,0.026798061361653962,0.026798061361653962,-0.05483134718125715,0.055395985439708355,0.05269706022819908
000,1698502130,18,228000,912000.0,-4.818676322157797e-20,0.025819145571673356,0.025819145571673356,-0.05298032126341506,0.05338806841444053,0.05072634253808821
000,1698502130,19,240000,960000.0,-1.807003620809174e-20,0.024881032355692546,0.024881032355692546,-0.05064850110346139,0.05149746944567536,0.04884462538361221
000,1698502130,20,252000,1008000.0,9.035018104045871e-20,0.023960517978628738,0.023960517978628738,-0.04897881681299396,0.04945660247511295,0.0469784411978716
000,1698502130,21,264000,1056000.0,-9.035018104045871e-20,0.023058769624941643,0.023058769624941643,-0.047151411128638195,0.04807066175055323,0.045136540461579854
000,1698502130,22,276000,1104000.0,-6.023345402697247e-20,0.02220234680121814,0.02220234680121814,-0.04565240900325153,0.04637155235358995,0.04338757462122298
000,1698502130,23,288000,1152000.0,-1.3552527156068805e-20,0.021375559377096242,0.021375559377096242,-0.044269199516546294,0.044583156349547355,0.04169424394876083
000,1698502130,24,300000,1200000.0,-4.517509052022935e-21,0.020569119249787906,0.020569119249787906,-0.04293118730350358,0.04284324169765078,0.0400492544178243
000,1698502130,25,312000,1248000.0,-4.4422172344892194e-20,0.019795463118202593,0.019795463118202593,-0.041103964044326396,0.04119436222785517,0.03848397941543264
000,1698502130,26,324000,1296000.0,-3.0116727013486233e-21,0.019049849361851952,0.019049849361851952,-0.039394125781268094,0.03960390450323464,0.03699372184727588
000,1698502130,27,336000,1344000.0,-2.4093381610788986e-20,0.01833280851869864,0.01833280851869864,-0.03778844112333643,0.037907769502169626,0.03554822670737347
000,1698502130,28,348000,1392000.0,-9.637352644315594e-20,0.017631522492107678,0.017631522492107678,-0.03670475873425661,0.03657056865188817,0.03417609896426369
000,1698502130,29,360000,1440000.0,-7.830349023506421e-20,0.016969179484801124,0.016969179484801124,-0.03544804104375312,0.035218269632870794,0.03287359227401937
000,1698502130,30,372000,1488000.0,7.830349023506421e-20,0.016328113217405685,0.016328113217405685,-0.034163799711883595,0.03373843317485454,0.031610630464839924
000,1698502130,31,384000,1536000.0,-2.4093381610788986e-20,0.015715994264229163,0.015715994264229163,-0.033061930082403115,0.03226258970357633,0.030398667472535383
000,1698502130,32,396000,1584000.0,7.529181753371558e-20,0.015126309476675849,0.015126309476675849,-0.031972552602087326,0.03089654142740741,0.029225404652204374
000,1698502130,33,408000,1632000.0,4.216341781888073e-20,0.014561813326732672,0.014561813326732672,-0.030886755104477605,0.029655966484196106,0.028092915311107098
000,1698502130,34,420000,1680000.0,-6.0233454026972465e-21,0.01402016338687993,0.01402016338687993,-0.02986387044177477,0.028569657458426878,0.02700935432495061
000,1698502130,35,432000,1728000.0,-1.5058363506743118e-20,0.01349254392344364,0.01349254392344364,-0.02881191292446597,0.027610547841725987,0.0259388043200509
000,1698502130,36,444000,1776000.0,5.722178132562385e-20,0.012978003890799183,0.012978003890799183,-0.027765386824512364,0.02647931211018238,0.024913159795342435
000,1698502130,37,456000,1824000.0,7.830349023506421e-20,0.012478246029638616,0.012478246029638616,-0.02672445991391476,0.025487026950637093,0.023913403316639457
000,1698502130,38,468000,1872000.0,-9.035018104045871e-20,0.01198762750391509,0.01198762750391509,-0.025569906855280006,0.024469767720616126,0.022944457808293628
000,1698502130,39,480000,1920000.0,6.32451267283211e-20,0.011522913565907658,0.011522913565907658,-0.024536329751743385,0.02364594602628423,0.022031150500740643
000,1698502130,40,492000,1968000.0,8.131516293641283e-20,0.011072844308799028,0.011072844308799028,-0.02375965739825013,0.02285161898168766,0.021142622858274555
